kml_name;kml_description;longitude;latitude;height
Ablation Rates of Taylor Glacier, Antarctica;http://nsidc.org/data/nsidc-0326.html;162.9823423739183;-78.3497422725815;0
Surface Velocities of Taylor Glacier, Antarctica;http://nsidc.org/data/nsidc-0324.html;162.9869814981692;-78.35312305191135;0
Stable Isotopes of Ice on the Surface of Taylor Glacier, Antarctica;http://nsidc.org/data/nsidc-0323.html;163;-78.35559564921992;0
Ice Stream C Ice Velocities;Antarctic Ice Velocity Data - Ice Stream C http://nsidc.org/data/velmap/siple/streamc_engelhardt/icestream_c.html;-136.9012948773446;-82.35296271197107;0
Ice Streams B, C, D, and E Catchment Velocities;Antarctic Ice Velocity Data - Ice Streams B, C, D, and E Catchment Velocitieshttp://nsidc.org/data/velmap/siple/catchment/catchment.html;-143.212856769927;-83.76077419893413;0
Siple Dome Velocities;Antarctic Ice Velocity Data - Siple Dome Velocitieshttp://nsidc.org/data/velmap/siple/siple_dome/siple_dome.html;-149.8657610379857;-81.62812474156992;0
Sulzberger Ice Shelf Velocities;Antarctic Ice Velocity Data - Sulzberger Ice Shelf http://nsidc.org/data/velmap/siple/sulzberger/sulzber.html;-150.0867357852418;-77.42036600051027;0
Prestrud Inlet;Antarctic Ice Velocity Data - Prestrud Inlet http://nsidc.org/data/velmap/siple/prestrud/prestrud.html;-154.5233198911728;-78.3883007876603;0
Ice Stream F Ice Velocities;Antarctic Ice Velocity Data - Ice Stream F Icehttp://nsidc.org/data/velmap/siple/streamf/streamf.html;-148.6679178651527;-79.06321148255032;0
Lower Ice Stream D (SPOT) Ice Velocities;Antarctic Ice Velocity Data - Lower Ice Stream D (SPOT)http://nsidc.org/data/velmap/siple/spot/streamdsp.html;-145.3246821371537;-80.91753161909195;0
Ice Stream B Ice Velocities;Antarctic Ice Velocity Data - Ice Stream B;-136.0382357146264;-83.4928284978659;0
Onset of Ice Stream D Ice Velocities;Antarctic Ice Velocity Data - Onset of Ice Stream Dhttp://nsidc.org/data/velmap/d_onset/d_onset.html;-131.7178798257266;-81.257205587847;0
Lower Ice Stream D and E Ice velocities;Antarctic Ice Velocity Data - Lower Ice Stream D and E http://nsidc.org/data/velmap/siple/lowde/lowde.html;-160.7449915312587;-81.25066574676046;0
Lower Ice Stream E Ice Velocities;Antarctic Ice Velocity Data - Lower Ice Stream Ehttp://nsidc.org/data/velmap/siple/streame/streame2.html;-153.6678694040234;-80.81826887644917;0
Ice Stream D and E  Ice Velocities;Antarctic Ice Velocity Data  - Ice Stream D and E http://nsidc.org/data/velmap/siple/streamde/streamde.html;-157.5433686680328;-81.2861162172986;0
Lower Ice Stream D Ice Velocities;Antarctic Ice Velocity Data - Lower Ice Stream Dhttp://nsidc.org/data/velmap/siple/streamd/streamd2.html;-141.4492350112173;-81.57659557590529;0
Upper Ice Stream D Ice Velocities;Antarctic Ice Velocity Data - Upper Ice Stream Dhttp://nsidc.org/data/velmap/siple/streamd/streamd1.html;-133.2573430714194;-81.45842734429179;0
Scott Coast Ice Velocities;Antarctic Ice Velocity Data - Scott Coasthttp://nsidc.org/data/velmap/scott_coast/scott_coast.html;162.2314406639221;-75.32054596925663;0
Rutford Ice Stream Velocities;Antarctic Ice Velocity Data - Rutford Ice Streamhttp://nsidc.org/data/velmap/rutford/rutford.html;-83.2710699815286;-78.43995167867216;0
Northwest Ross Ice Shelf Velocities;Antarctic Ice Velocity Data - Northwest Ross Ice Shelf Velocitieshttp://nsidc.org/data/velmap/ross_shelf/ross_nw/ross_nw.html;165.5822156716695;-78.82122757777388;0
Ross Ice Shelf Velocities;Antarctic Ice Velocity Data - Ross Ice Shelf Velocitieshttp://nsidc.org/data/velmap/ross_shelf/ross_home.html;175.4981053802376;-79.01734124490345;0
Pine Island Glacier Ice Velocities 1986-1988;Antarctic Ice Velocity Data - Pine Island Glacier 1986-1988http://nsidc.org/data/velmap/pine_getz/pine86_88/pine86_88.html;-100.9902474591863;-75.14694678965837;0
