kml_name;kml_description;longitude;latitude;height
1, 3a, 3b, 3c, 6, 9, 12b, 12c, Alemannic, 580-630 CE;http://advances.sciencemag.org/content/4/9/eaao1262DOI: 10.1126/sciadv.aao1262 1:mtDNA: K1aY-DNA: R1b1a2a1a1c2b2b1a13a:mtDNA: K1aY-DNA: R1b1a2a1a1c2b2b1a13b:mtDNA: I5a1bY-DNA: G2a2b13c:mtDNA: T2Y-DNA: R1b1a26:mtDNA: H65aY-DNA: R1b1a2a1a1c2b2b9:mtDNA: X2b4Y-DNA: R1b1a2a1a1c2b2b1a112b:mtDNA: X2b4Y-DNA: R1b1a2a1a1c2b2b1a112c:mtDNA: U5a1a1Y-DNA: R1b1a2a1a1c2b2b1a1;10.236892;48.536627;0
1.1, 2.1, 7, 60, 61.1, 61.2, 62, 63, 68, 70, 73, 76, 77, 86, 87, 88, 89, 90, 91.1, 91.2, 92, 95, 96, 97, 98, 99, 112, 113, 114, 115, 116.1, 116.2, 117, 118, 120, 122.1, 122.2, 123, 128, 129, 130, 131, 134, 135, 139, 140, 150, 152.2, Merovingian, 500-700AD ;https://ediss.uni-goettingen.de/handle/11858/138851.1:mtDNA: K1a4a1a2Y-DNA: I2a2b L38*2.1:mtDNA: R0Y-DNA: G2a2b2a1b - L497*7:mtDNA: K2b1b60:mtDNA: R061.1:mtDNA: T2f2Y-DNA: I2a2b L38*61.2:mtDNA: J1cY-DNA: R1b-M52970: mtDNA: T2b3+15173:mtDNA: J2a1a1a76:mtDNA: R077:mtDNA: R086:mtDNA: K2b1b87:mtDNA: U4b1a1a188:mtDNA: T2b33Y-DNA: E1b1b-V1389:mtDNA: U4b1a1a1Y-DNA: R1b-L4890:mtDNA: W5aY-DNA: R1b-M16791.1:mtDNA: H+152Y-DNA: R1b-U15291.2:mtDNA: H+152Y-DNA: R1b-U15292:mtDNA: W5a95:mtDNA: R0Y-DNA: R1b-U10696:mtDNA: R0Y-DNA: R1a-M1798:mtDNA: R099:mtDNA: K2a11112:mtDNA: U3a113:mtDNA: J1c7114:mtDNA: J1c3c115:mtDNA: H1c1Y-DNA: R1b*116.1:mtDNA: U5a1+@16192 U5a1i116.2:mtDNA: U5a1+@16192 U5a1i117:mtDNA: J1c118:mtDNA: K1a26Y-DNA: R1b-P312120:mtDNA: R0122.1:mtDNA: K2Y-DNA: R1b-U152122.2:mtDNA: H1a3123:mtDNA: H13b1+200R1b-U106130:mtDNA: U52a131:mtDNA: U5b3b1Y-DNA: R1b-P312134:mtDNA: H5135:mtDNA: K1a K1b1+(16093)139:mtDNA: J1cY-DNA: I2a2a M223*140:mtDNA: H6Y-DNA: I1150:mtDNA: H2a2a2152.2:mtDNA: H2+152+16311 HV9+152Y-DNA: R1b M73*;10.685706;50.920962;0
A1801, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1801:mtDNA: C4b6Y-DNA: N1a1a1a1a3a2 (B219);18.958315;47.275892;0
A1802, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1802:mtDNA: D4j5aY-DNA: N1a1a1a1a3a (F4205);19.219945;47.019359;0
A1803, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677;20.482196;46.871501;0
A1804, A1805, A1806, A1807, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1804:mtDNA: D5b1Y-DNA: Q1a2a1a4a~ (YP817)A1805:mtDNA: H5a2A1806:mtDNA: D4i2A1807:mtDNA: C4a1a4aY-DNA: Q1b1a3b (Y11941);20.556195;46.861281;0
A1808, Early Avar, first third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1808:Y-DNA: N1a1a1a1a (M2018);19.015352;46.970576;0
A181013, A181014, A181015, A181016, A181017, A181018, A181019, A181020, Late Sarmatian / Early Hun Period, 5th century AD;https://www.sciencedirect.com/science/article/pii/S0092867422002677A181013:mtDNA: H5A181014:mtDNA: K1a4a1Y-DNA: I2a1b1a2b1~ (CTS4348)A181015:mtDNA: U2e1hY-DNA: I1a2a1a1a1b (S2205)A181016:mtDNA: H1cfY-DNA: I1a2a1a1a (Z141)A181017:mtDNA: H7Y-DNA: I1a (I-DF29)A181018:mtDNA: H+16291A181019:mtDNA: K1a4a1Y-DNA: I2a1b1a2b1a~ (CTS10743)A181020:mtDNA: C5c+16234;19.718705;46.858845;0
A181021, A181022, A181023, A181024, A181025, A181026, A181027, A181028, Late Sarmatian / Early Hun Period, late 4th century-early 5th century AD;https://www.sciencedirect.com/science/article/pii/S0092867422002677A181021:mtDNA: T2bA181022:mtDNA: H59A181023:mtDNA: I1a1aY-DNA: R1b1a1b1a1a2b (PF6570)A181024:mtDNA: J1c3A181025:mtDNA: T2bY-DNA: G2a1a1a1a1a1 (FGC725)A181026:mtDNA: HV0A181027:mtDNA: H1mA181028:mtDNA: T1a1bY-DNA: R1a1a1b2a2a1 (Z2123);21.357422;47.856988;0
A181029, Hun period, 5th century AD;https://www.sciencedirect.com/science/article/pii/S0092867422002677A181029: mtDNA: H5Y-DNA: R1a1a1b2a2b2~ (Y50);17.40788;47.507873;0
A1816, A1817, A1818, A1820, A1821, A1822, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1816:mtDNA: U5a1+@16192A1817:mtDNA: H8a1Y-DNA: N1a1a1a1a3a (F4205)A1818:mtDNA: R2+13500A1820:Y-DNA: N1a1a1a1a (F4218) A1821:mtDNA: F1b1bY-DNA: N1a1a1a1a3a (F4205)A1822:mtDNA: M7c1b2bY-DNA: N1a1a1a1a3a (F4205);19.242631;47.077533;0
A1819, Kunb?bony group, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1819:mtDNA: Z1a1Y-DNA: N1a1a1a1a3a (F4205);19.834338;46.626381;0
A1823, Early Avar, middle third of 7th;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1823:mtDNA: Y1a1Y-DNA: N1a1a1a1a3a (Y16310);19.704741;46.912808;0
A1824, A1825, Early Avar, beginning of the 7th century;https://www.sciencedirect.com/science/article/pii/S0092867422002677A1824:mtDNA: K1a17aY-DNA: R1a1a1b1a2a (S205);18.704159;45.948443;0
