kml_name;kml_description;longitude;latitude;height
Abu Fanduweh;;48.31627718;32.09413309;0
Alexandrian in Aria;;62.1907422;34.34623768;0
Ali Kosh ?;;47.32477757;32.55768753;0
Anahita Temple;;47.95856418;34.50103837;0
Ancient Iranian lakes;;51;32;0
Anshan;;52.40857658;30.01201958;0
Ardashir Khureh palace;The palace of king Arda?ir I, the founder of the Sasanian Empire, was built opposite the city he had founded.;52.53924882;28.89800915;0
Atashgah;;51.57020451;32.64825661;0
Baba Jan Tepe (East);;47.93384055;34.02049588;0
Baba Jan Tepe (West);;47.93232937;34.02052772;0
Band-e Kaisar;Bridge and dam from the 3rd century CE.;48.84850255;32.05358404;0
Bard-e Nechandeh;;49.33431628;32.0356554;0
Bastam Tepe;Urartian citadel from the 7th century BC;44.94883481;38.88572548;0
Behistun;rock inscription from Darius 1;47.40481312;34.38423791;0
Bishapur ?;;51.57065097;29.77674989;0
Bugga Ishan ?;KS 49;48.44035794;32.13042634;0
Bushehr;Elamite settlement from circa 3000 BCE;50.82972358;28.98944165;0
Chogha Bonut ?;;48.50440388;32.22272033;0
Chogha Mish;;48.55528571;32.22410229;0
Chogha Pahwandeh;KS 165;48.68506116;32.18474956;0
Chogha Qal ?;;49.79248581;31.87447182;0
Cudi Dagh;"the mountain where Noah&#39;s ark landed";42.47111894;37.37450539;0
Dalma Tepe ?;;45.41973819;36.97827675;0
Darabgerd;Sassanid era settlement 3rd to 7th century CE;54.4777483;28.69122033;0
Deh-e Now ?;;48.06146202;34.10120659;0
Dinkha Tepe;;45.16575874;37.00786335;0
Do-Ashkaft cave ?;Middle Paleolithic cave site;47.12998324;34.40301904;0
Dur Untash;;48.52118084;32.00871787;0
Ecbatana;Capital city of the Medes.;48.51722227;34.80555282;0
Emamshahr;;54.96649776;36.42092747;0
Estakhr;The ruins of the village were rediscovered and mapped in 1848 by Eugene Flandin (1803-1876) and Pascal Coste (1787-1879). First excavations took place in 1932 and 1934, as Herzfeld worked for the Oriental Institute at Persepolis. In 1935 and 1937 Erich Friedrich Schmidt could make first aerial photographs, in which the size of the place in the 9th or 10 Century could be seen again.;52.90898604;29.9797278;0
Gabae;;51.71239899;32.63110002;0
Ganj Dareh;;48.17838774;34.44671821;0
Gerde Resh;;45.60612157;35.38453599;0
Gerde Sefe;Grdi Safai;45.979344;35.28841542;0
Gerde Sefe;Grdi Safai;45.98363898;35.28304621;0
Gilan Gharbi;;45.92000033;34.14111936;0
Godin Tepe;;48.06842156;34.51844458;0
Gohar Tepe;;53.40049709;36.67899846;0
Gougtapeh;;45.14516867;37.51794873;0
Gur;;52.53299837;28.85246453;0
Haftavan Tepe;;44.79361174;38.16731883;0
Hajji Firuz Tepe;Occupied throughout the Neolithic, Chalcolithic, Late Bronze Age/Iron Age, and Islamic periods.;45.47450569;36.99464432;0
Hasanlu Tepe;;45.45864009;37.00454389;0
Hecatompylos;"Capital of the Parthian Arsacid dynastyIt is estimated to have had an area of 28 km&#178; at its peak, which would indicate a population in the tens of thousands.";54.11789226;35.9531961;0
Hupshana ?;;48.56853028;32.06870892;0
Ishan Abu Diyyayyat ?;;48.49251429;32.16162245;0
Iwan-e Karkheh;Sasanian city;48.1245325;32.32741862;0
Izertu ?;;46.2074295;36.52097965;0
Kabnak;;48.32848064;32.0806694;0
Karhane;;47.9974404;34.49840455;0
Kelardasht ?;;51.16782434;36.50449211;0
Kermez Tepe;;48.95091236;35.03176161;0
Konar Sandal;Bronze Age archaeological site that consists of two mounds a few kilometers apart, called Konar Sandal A and B with a height of 13 and 21 meters, respectively. At Konar Sandal B, a two-story, windowed citadel with a base of close to 13.5 hectares was found.The site is associated with the Jiroft culture of the 3rd millennium BCE.;57.77925788;28.46349457;0
Konkobar;;47.9597188;34.50182981;0
Kul-i Farah ?;;49.92839422;31.87057064;0
Liyan;Elamite port;50.83041095;28.90078357;0
Marlik Tepe ?;;49.45903333;36.83053333;0
Naqadeh tepe ?;;45.38822633;36.9552067;0
Naqsh-e Rustam;Location of the four rock-cut tombs of the kings Darius I, Darius II, Xerxes I and Artaxerxes;52.87432681;29.9884729;0
Nisa;;58.21032821;37.95156307;0
Nushabad;;51.4375157;34.08001498;0
Ozbaki;;50.58660049;35.97999085;0
Pahura;;60.44749829;27.20130476;0
Palace of Cyrus ?;;51.18881484;29.25751977;0
Palegawra cave ?;;45.11668807;35.65001632;0
Parsa;;52.89096558;29.93448748;0
Pasargadai;;53.1790094;30.20174729;0
Pasveh;;45.33113771;36.79883558;0
Prophthasia;;62.11117946;32.38202599;0
Qala Khandan Teppe ?;;54.41900049;36.82642187;0
Qal-e Geli;;50.80901837;31.51078976;0
Qusheh Dagh;;47.17796576;38.34343537;0
Raga;;51.44887558;35.60481974;0
Rusahinili;"Settlement hills located near the city of Van. In the 7th Century BCE the Urartian King Rusa II founded the fort Rusahinili (Rusas&#39; city) at this site as a royal residence.";43.40590095;38.50931364;0
Rusahinili Eidorukai;;43.2109988;38.70818256;0
Sardurihinili;"The Urartian site of &#199;avustepe";43.46151748;38.35305398;0
Shad Shahpur;;50.01319873;36.27149597;0
Shah Tepe;;54.35137194;36.93989824;0
Shahr-i-Sokhte;;61.32620722;30.5959919;0
Shengavit ?;Calcolithic settlement phases from the late 4th century BC;44.47698313;40.15687994;0
Sialk;;51.40392014;33.96864336;0
Siba ?;Sassanid hamam (bath) complex.;54.49169829;27.08857158;0
Sumbar ?;;55.81610361;38.28891081;0
Susa;;48.25778533;32.18921969;0
Taban;;58.15800719;34.00536035;0
Tabriz;"Mentioned for the first time in Assyrian King Sargon II&#39;s epigraph in 714 BCE, Tabriz was the capital of several rulers starting with Atropates and his dynasty.A recent excavation at site of the Iron Age museum in the northeastern part of the Blue Mosque connected the history of civilization in the city to the first millennium BCE. It is more likely that the city was destroyed several times either by natural disasters or by invaders.The Cambridge History of Iran claims that current Tabriz was founded at the time of the early Sassanids in the 3rd or 4th century CE or, more probably, in the 7th century CE.";46.30289484;38.07299215;0
Takht-i Rustam ?;;52.88275689;29.96677977;0
Takht-i-Suleiman;"This is the archetypical place of the abzu, realm of the god Enki.<br/><br/><a href=""http://www.history-book.net/images/takht-e-suleiman03.jpg""><img src=""http://www.history-book.net/images/takht-e-suleiman03_tn.jpg""/></a><br/><br/>In later times the Takht-e Suleiman became one of the most prominent sacred places of the ancient fire cult of western Iran, Zoroastrism.";47.23476629;36.60487584;0
Tal-i Ghazir;;49.41416077;31.35923612;0
Tappeh Balu;;45.02639825;37.62610177;0
Tappeh Sornah;;51.2937267;30.34387852;0
Teishebaini;;44.4519941;40.15329772;0
Tel-e Spid;;51.48434036;30.25204268;0
Tell Tendy ?;;49.47167332;30.85483027;0
Tell-e Bakun A;;52.88562771;29.91383809;0
Tell-e Bakun B;;52.88840723;29.91306054;0
Tepe Bazgir ?;;55.25202319;37.17694466;0
Tepe Bormi ?;;49.5957093;31.2506636;0
Tepe Guran;;47.09738644;33.75661238;0
Tepe Gyaur;;45.1098509;37.41459246;0
Tepe Hissar;;54.38491094;36.15456862;0
Tepe Kordlar;;45.21407598;37.56407388;0
Tepe Moussian ?;;47.35076403;32.55255684;0
Tepe Nush-i Jan;Median fortification;48.6327097;34.36565759;0
Tepe Yahya;;56.86736573;28.33095294;0
Teppe Bowla;;47.25371434;32.66562392;0
Teppe Darouqeh;;48.8832537;31.87559554;0
Teppe Dizajtakye;;45.17025428;37.42273528;0
Teppe Giyan;;48.24369525;34.18158214;0
Teppe Jaffarabad;;48.22435542;32.27491716;0
Teppe Kushkak;;51.49425534;30.25189034;0
Teppe Meshwall 1 ?;;48.8989076;31.77233719;0
Teppe Meshwall 2 ?;;48.91691598;31.77854133;0
Teppe Sabz;;50.30249881;30.64192115;0
Teppe Sharbat ?;;45.1559386;37.71876409;0
Teppe Suleiman ?;KS 24;48.23564221;32.23942467;0
Teppe-ye Mosalla;;48.52437818;34.79669884;0
Tirazis;;52.5436477;29.60940495;0
Tol-e Afghani;;51.13238787;31.48853392;0
Tol-e Nurabad;;51.52060078;30.12191736;0
Turan Teppe;;54.56157991;36.97323897;0
Tureng Tepe;"&quot;Hill of the Pheasants&quot;. The oldest remains on the site date to the Neolithic and Chalcolithic periods. The Bronze age settlement portion of the site dates from approximately 3100-2900 BCE to 1900 BCE.";54.58640852;36.93826858;0
unidentified site ?;;45.94823705;35.28268495;0
Urmia ?;;45.09571952;37.54985875;0
Yanik Tepe;;46.00335112;37.98070512;0
Yasin Teppe;;45.64981362;35.35996935;0
Zend-i Suleiman;;47.20194231;36.61392678;0
Ziwiyeh;;46.6874286;36.26195034;0
Chogha Gavaneh;;46.52870318;34.11024605;0
Dehloran ?;Early Neolithic tell on the Deh Luran plain in lowland Khuzistan, western Iran. Excavated by Frank Hole and Kent Flannery in the 1960s, the work was innovative in successfully using a flotation unit to sample deposits for carbonized plant remains. The cultural sequence begins at about 8000 bc and runs through for about two millennia, spanning the period when farming developed in the region. In the earliest, Bus Mordeh, phase (c.8000-7000 BCE) the settlement comprised simple rectangular houses built of mud brick. The occupants lived through a combination of simple farming, hunting, and gathering. Domesticates included herded sheep and goats together with hulled barley, and emmer and einkorn wheat. The inhabitants collected a wide range of plants and also fished. In the succeeding Ali Kosh Phase (c.7000-6200 BCE) the same range of domesticates were found and some hunting and fishing still occurred, but the contribution made by wild plants decreased dramatically as the use of cultivated plants increased. The settlement was larger, with more substantial buildings. In the third, Muhammad Jaffar, phase (c.6200-5800 BCE) there were further innovations, including the introduction of pottery, and farming had become firmly established. The site appears to have been abandoned in the mid 6th millennium BCE.;47.32293399;32.6945364;0
Apameia;;48.43753974;34.76238927;0
Bad-tibira;;45.99663638;31.77505297;0
