kml_name;kml_description;longitude;latitude;height
«Marree Man»;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">ВЕЛИКАН СТЮАРТА / «Marree Man» </font></b></td></tr><tr><td><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_c8de1e45ce57dc1da288828622764f74" title="PHOTO" /></a></td><td><a href="http://www.geolines.ru/research/research_96.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";137.4707028;-29.54068889;0
«PARK of DRAGONS»;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">"Парк драконов" / «PARK of DRAGONS»</font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/natural-objects/natural-objects_850.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_c12bcfeb8a0e06fc1d0912463eeb332f" /></td><td><a href="http://geolines.ru/research/research_575.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";133.5625;43.06205;0
100 Years to Lenin;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2"> ЛЕНИНУ 100 ЛЕТ / 100 Years to Lenin</font></b></td></tr><tr><td><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_9e373da9f337b566746693329fdd1098" /></td><td><a href="http://geolines.ru/research/research_566.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";64.80092036;54.46681964;0
A trailing stone;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">ВИСЯЧИЙ КАМЕНЬ / A trailing stone </font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/piramids/piramids_167.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_2c484856157c9868720cce53324d7989" title="PHOTO" /></a></td><td><a href="http://www.geolines.ru/research/research_434.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";93.34206667;52.83515556;0
Abakan's burial ground;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">АБАКАНСКИЕ МЕГАЛИТЫ / Abakan's burial ground</font></b></td></tr><tr><td><a href="http://static.panoramio.com/photos/original/52529606.jpg" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://mw2.google.com/mw-panoramio/photos/small/52529606.jpg" title="PHOTO" /></a></td><td><a href="http://www.geolines.ru/PHOTOOBJECT/megalits/megalits_129.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";90.95884015;53.39259087;0
Abhayagiri Dagaba;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2"> Абхайягири / Abhayagiri Dagaba</font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/barrows-ziggurats/barrows-ziggurats_807.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_35ab956c2710dbb537572c0c0dbbf379" /></a></td><td><a href="http://geolines.ru/research/research_586.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";80.39514167;8.370922222;0
Abramov megaliths;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">Мегалиты АБРАМОВ / Megalith village Abramov</font></b></td></tr><tr><td><a href="http://static.panoramio.com/photos/original/2248426.jpg" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://mw2.google.com/mw-panoramio/photos/small/2248426.jpg" /></a></td><td><a href="http://geolines.ru/PHOTOOBJECT/megalits/megalits_125.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";90.14630084;52.99150551;0
Absheron megalithic;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">МЕГАЛИТЫ АБШЕРОНА / Absheron megalithic </font></b></td></tr><tr><td><a href="http://www.window2baku.com/images/Ancient/mega_mard1.jpg" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_1061e7ba0a64f752d093a2500c572716" title="PHOTO" /></a></td><td><a href="http://www.geolines.ru/research/research_404.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";50.02095278;40.46461111;0
Absheron petroglyphs;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">ПЕТРОГЛИФЫ АБШЕРОН / Absheron petroglyphs </font></b></td></tr><tr><td><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_bed89709b78925d775ea859bafd92b00" title="PHOTO" /></a></td><td><a href="http://www.geolines.ru/research/research_403.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";50.25712222;40.45814722;0
Abu Men;"<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2">Абу-Мина / Abu Mena</font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/ancient-cities/ancient-cities_439.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_df90050a42061358a3239bc283930cb1" /></td><td><a href="http://geolines.ru/research/research_850.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>";29.66311667;30.84098056;0
