kml_name;kml_description;longitude;latitude;height
Wall - Vallum, Turf Wall & Wall;;-2.620834792;54.98443154;0
Vallum;;-2.081201574;55.01835047;0
Wall - Hare Hill;;-2.682455723;54.97429333;0
Limestone Corner;camp;-2.19419279;55.03671018;0
Coesike;campsites;-2.285331779;55.02572625;0
Brown Dikes;camp;-2.252048224;55.02699518;0
Willowford;Temporary camp with visible ramparts;-2.58677118;54.98828283;0
Swine Hill;;-2.151387516;55.13725639;0
Dargues;Large badly-preserved temporary camp;-2.222191667;55.23758611;0
Crooks;Small temporary camp.;-2.569894444;54.98374167;0
Blakehope;Temporary camp.;-2.224054477;55.24496211;0
Chapel Rigg;Small temporary camp with well-preserved defences.;-2.554497222;54.98227222;0
Glenwhelt Leazes;Temporary camp with well-preserved northern rampart.;-2.538922438;54.98375668;0
Bagraw;Large temporary camp;-2.239493068;55.26363517;0
West Woodburn;Temporary camp;-2.165319444;55.18112778;0
Bellshiel;Large temporary camp;-2.288802778;55.29186111;0
Sills Burn South;Temporary camp;-2.276842315;55.29156868;0
Birdhope;Three temporary camps superimposed on each other;-2.272933333;55.28356111;0
Silloans;Large temporary camp;-2.281511111;55.29968056;0
Greenlee Lough;Well-preserved temporary camp;-2.353797222;55.01992778;0
Sills Burn North;Temporary camp;-2.276208333;55.294425;0
Featherwood West;Temporary camp;-2.295452209;55.34600393;0
Featherwood East;Temporary camp;-2.285663889;55.34408889;0
North Yardhope;Temporary camp;-2.145425;55.30228611;0
Fell End;Large strangely shaped temporary camp.;-2.493227778;54.98315833;0
Lees Hall;Temporary camp;-2.462754156;54.98483183;0
Cawfields;Well-preserved temporary camp;-2.448583333;54.99619167;0
Markham Cottage;Small, well-preserved temporary camp within larger badly preserved one.;-2.456511111;54.99008889;0
Burnhead;Well-preserved temporary camp;-2.454816667;54.99641944;0
Chesters Pike;Temporary camp;-2.459655556;54.99827778;0
Milestone House;Large temporary camp with later saxon enclosure.;-2.434032478;54.98850136;0
Seatsides 2;Well-preserved temporary camp;-2.388771625;54.99246311;0
Twice Brewed;Large temporary camp;-2.390977652;54.99461498;0
Seatsides 1;Well-preserved temporary camp;-2.390755556;54.99006667;0
Bean Burn;Temporary Camp;-2.381517499;54.98815252;0
Caer Mote;Small temporary camp with well-defined ramparts.;-3.240263098;54.7200576;0
Wallwick Fell;Badly-preserved temporary camp hidden among trees;-2.179522222;55.03193333;0
Troutbeck;camps;-2.957487987;54.63728896;0
Mastiles Lane;Large well-defined temporary camp.;-2.130963466;54.084925;0
Sunny Rigg;Camps;-2.47291089;54.9852296;0
Mesad Boqeq;;35.3591214;31.20124251;0
Mesad Zohar;;35.35078797;31.14498767;0
Castellum Onagrinum;SerbiaRoman Fort;19.62330789;45.2366541;0
Corunna;SpainStill active Roman lighthouse.;-8.397628952;43.37754482;0
Fort;;-1.655527512;54.19177681;0
Caldicot Castle;Forfification was built later apon Roman lookout post;-2.74185833;51.5930698;0
Milecastle 41;;-2.423098218;54.99737291;0
Great Chesters (Aesica);;-2.464464591;54.99499525;0
Milecastle 40;;-2.399049846;55.00212835;0
Carrawburgh (Brocolitia);;-2.22203233;55.03461597;0
Haltwhistle Burn;;-2.447591355;54.98917483;0
Chesters (Cilurnum);;-2.13965128;55.02581685;0
Housesteads (Vercovicium);;-2.330390206;55.01343269;0
Corstopitum(Red House Fort);;-2.029103502;54.97821662;0
Milecastle 37;;-2.337619656;55.01231454;0
Milecastle 39 - Steel Rigg;;-2.375773325;55.00363506;0
Untitled Placemark;;-2.269700702;55.02992161;0
Milecastle 35 - Sewingshields;;-2.30657611;55.02578472;0
Milecastle 29 - Black Carts;;-2.175503454;55.03425511;0
Turret - Sewingshields;;-2.281098285;55.0291786;0
Milecastle 24;;-2.062906208;55.01778593;0
Rudchester (Vindobala);;-1.825232;55.00195752;0
Castlesteads (Banna);;-2.763380819;54.96368472;0
Milecastle 44;;-2.487906978;54.99611211;0
Milecastle 42 - Cawfields;;-2.445836393;54.99404629;0
Milecastle 48 - Poltross Burn;;-2.573506649;54.98897557;0
Carvoran (Magnis);;-2.523753169;54.98530104;0
Bremenium;;-2.264806172;55.28141569;0
Wall - Willowford Bridge Abutment;;-2.591942751;54.99135879;0
Milecastle 49;;-2.594991299;54.99082719;0
Birdoswald (Camboglanna);;-2.602153452;54.98929265;0
Chew Green;;-2.333961452;55.36962028;0
Wall - Chesters Bridge Abutment;;-2.135592015;55.02502644;0
Throp;Small unexcavated fortlet.;-2.577533333;54.9869;0
Rough Castle Fort;;-3.854602657;55.99470968;0
Turret - Denton Hall;;-1.691286966;54.98415209;0
Barochan Roman Fortlet;;-4.538772988;55.88781936;0
Lurg Moor Fortlet;;-4.730570282;55.92625998;0
