kml_name;kml_description;longitude;latitude;height
Plazuelas;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏËÀÇÓÝËÎ / Plazuelas </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_61.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_2777e8687924d148a8f56db1caf8b6ea"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_123.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-101.8267389;20.40518056;0
The Pyramids of Guimar;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÃÓÈÌÀÐ / The Pyramids of Guimar </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_63.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_22a4c3dbcd0dceba1216d0493ee0247d"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_122.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-16.41335278;28.32237222;0
Tucume;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÒÓÊÓÌÅ / Tucume </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_64.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_5e12fcee8df3e623d9a976469ed8490c"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_121.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-79.84233333;-6.51845;0
Cuicuilco;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÊÓÈÊÓÈËÜÊÎ / Cuicuilco </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_65.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://www.geolines.ru/netcat_files/83/38/h_db0e6388254ad835c7763b1e465f129b"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_120.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-99.18160556;19.30164722;0
Mount Pedan;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÄÀÍ / Mount Pedan</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_66.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_6ecef879c77c6bad232278f9146a07c2"" /></a></td><td><a href=""http://www.geolines.ru/research/research_119.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";132.6967194;43.07214444;0
Bosnian pyramids;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÁÎÑÍÈÉÑÊÀß ÏÈÐÀÌÈÄÀ/Bosnian pyramids</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_68.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_d2370af0615267b03749a917335c1caa"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_16.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";18.17623611;43.97693889;0
Qianling Tomb;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÁÅËÀß ÏÈÐÀÌÈÄÀ / Qianling Tomb </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_69.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_3a3324037eaf2ace3b13ff5189fcc625"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_15.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";108.2145167;34.58181667;0
Meroe Pyramids;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÌÅÐÎÝ / Meroe Pyramids </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_70.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_355b70c82c02e9e7cfeef91e4502d3f8"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_1.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";33.74912222;16.93807222;0
Cahuachi Pyramid;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÊÀÓÀ×È / Cahuachi Pyramid</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_190.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_d0dd0cd0cd0db4728a520d8d0dfa3247"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_268.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-75.11676736;-14.817592;0
Rock Lake PYRAMID;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÎÇÅÐÀ ÐÎÊ / Rock Lake PYRAMID </font></b></td></tr><tr><td><a href=""http://www.burlingtonnews.net/rocklake2.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_0831a17d8bde8b1c5cd4b51059a06576"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_266.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-88.93133611;43.08201389;0
The pyramid at Meidum;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÌÅÄÓÌÑÊÀß ÏÈÐÀÌÈÄÀ / The pyramid at Meidum</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_191.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_705583cf7284767d7ab32619dfa64769"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_265.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";31.1569;29.3882;0
Labyrinth of Egypt;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÅÃÈÏÅÒÑÊÈÉ ËÀÁÈÐÈÍÒ/Labyrinth of Egypt </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_192.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_95483ea3064656f94ac0994c77462ffe"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_263.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";30.89894317;29.27433954;0
langi (royal burial tombs);"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÒÎÍÃÀÒÀÏÓ / langi (royal burial tombs) </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_193.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_2ecdc44f83e607efb0bebe9e1f38bc5a"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_155.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-175.1165944;-21.17449444;0
Layer Pyramid;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >Ïèðàìèäà ËÀÉÅÐÀ/Layer Pyramid </font></b></td></tr><tr><td><a href=""http://toeg.ru/images/library/image/250px-Hab_pyramid.jpg"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_c5140009767a72b0402e4fff1bc23e65"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_264.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";31.16135556;29.93280278;0
Maldives PIRAMID;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÌÀËÜÄÈÂÑÊÈÅ ÏÈÐÀÌÈÄÛ / Maldives PIRAMID</font></b></td></tr><tr><td><a href=""http://www.gigalresearch.com/uk/images/ile-maurice/maurice13.jpg"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_80e7926c133009c1d7cfc6bcf4804188"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_146.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";73.39964167;1.797052778;0
Sondor PIRAMIDE;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÀ ÑÎÍÄÎÐ / Sondor PIRAMIDE </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_195.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_93620617bc38ca6df6a54549f257fc1c"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_355.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-73.26871667;-13.60638611;0
Great Pyramid;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÂÅËÈÊÀß ÏÈÐÀÌÈÄÀ/Great Pyramid</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_1.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_1591904a573c6034ed5450c2a3e14b79"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_335.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";31.13416667;29.97916667;0
TEOTIHUACAN;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÒÅÎÒÈÓÀÊÀÍ / TEOTIHUACAN </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_196.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_8e23282e3ee9c2c4f90c850b8c0d153d"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_334.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-98.84400278;19.69956944;0
Pyramids of Paratoari;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÏÀÐÀÒÎÀÐÈ / Pyramids of Paratoari</font></b></td></tr><tr><td><a href=""http://home.hiwaay.net/~jalison/paititi6.jpg"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_de4dde955e863d8d4f356ca1a8565c5e"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_328.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-71.46132778;-12.67323611;0
Caral;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÊÀÐÀËÜ/Caral </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_197.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_e3e2b32013ef464cd860a17794f8d7a6"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_327.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";-77.52085556;-10.89167222;0
Nuri Piramids;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÛ ÍÓÐÈ/Nuri Piramids</font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_198.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_7306b042e96be18e0eebe28ce8969600"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_324.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";31.91616111;18.56471389;0
Helliniko Pyramid;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÏÈÐÀÌÈÄÀ ÝËËÈÍÈÊÎ/Helliniko Pyramid </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_199.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_7c1e4b79b9e8dcbd1b5f70bb62e05a7e"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_305.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";22.67114444;37.58734722;0
Chinese pyramids;"<table width=""380"" cellspacing=""2"" cellpadding=""5"" border=""0"" align=""center""><tbody><tr><td colspan=""2""><b><font size=""2"" face=""Tahoma"" color=""Maroon"" >ÊÈÒÀÉÑÊÈÅ ÏÈÐÀÌÈÄÛ / Chinese pyramids </font></b></td></tr><tr><td><a href=""http://geolines.ru/PHOTOOBJECT/piramids/piramids_200.html"" target=""_blank""><img width=""120"" height=""120"" border=""1"" align=""top"" alt="""" src=""http://geolines.ru/netcat_files/83/38/h_2a0ee17be6ed8fb4ce7f20785f2b9a89"" title=""PHOTO"" /></a></td><td><a href=""http://www.geolines.ru/research/research_269.html"" target=""_blank""><img width=""258"" height=""109"" border=""0"" align=""bottom"" src=""http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469"" alt="""" /></a></td></tr></tbody></table>";108.7094165;34.39789195;0
