name;site;code;type;longitude;latitude;height
Aquitania;Bordeaux;PHILODAMVS;Oberaden 74;-0.5805;44.840439;0
Tarraconensis;Barcelona;O;Dressel 2-4 Catalan;2.1741;41.398371;0
Lugdunensis;Mont-Beuvray;SIN;Dressel 1;4.032143;46.92678;0
Caledonia;Cumbernauld;PQ;Dressel 20;-3.983333;55.95;0
Italia;Padova;LAEK;Dressel 6B;11.883333;45.416667;0
Britannia;Cirencester;CPCAMO;Dressel 20;-1.983333;51.733333;0
Italia;Brindisi;DAMA;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Orleans;M;Pascual 1;1.903887;47.902891;0
Narbonensis;Saint-Romain-en-Gal;CSEMPRONIPOLYCLITI;Dressel 20;4.860743;45.531592;0
Lugdunensis;Mont-Beuvray;GA;Dressel 1;4.032143;46.92678;0
Noricum;Magdalensberg;PTOLEM;Dressel 6B;14.966667;46.65;0
Germania Superior;Mandeure;EVRI;Dressel 20;6.807625;47.449211;0
Narbonensis;Golfe de Fos;MATVRI;Gauloise 4;4.942851;43.383543;0
Tarraconensis;San Pedro;VICTORIA;Lamboglia 2;-0.751789;37.802242;0
Germania Superior;Nida-Heddernheim;LIVNIMELISSI;Dressel 20;8.645835;50.159548;0
Germania Superior;Dieburg;ACIRGI;Dressel 20;8.846132;49.897382;0
Tarraconensis;Cartagena;ALLAE;Lamboglia 2;-0.986232;37.605121;0
Tarraconensis;Ampurias;VEHIL;Brindisian amphora;3.117809;42.139543;0
Baetica;Almodovar del Rio;LIBERALINI;Dressel 20;-5.02037;37.810702;0
Narbonensis;Vienne;CSP;Dressel 20;4.873453;45.524785;0
Narbonensis;Ceilhes-et-Rocozels;ANT;Dressel 1;3.1106;43.803533;0
Germania Inferior;Neuss;ENNIORVMIVLIORVM;Dressel 20;6.685037;51.198071;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Mataro;VERD;Pascual 1;2.444503;41.542113;0
Italia;Brindisi;VEHILIANA;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Vicenc dels Horts;P;Dressel 2-4 Catalan;2.007994;41.396145;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Germania Superior;Hofheim;PONTICI;Augst 17;8.413845;49.657495;0
Italia;Brindisi;APOLLONI;Brindisian amphora;17.933333;40.633333;0
Britannia;Edinburgh;ACIRGI;Dressel 20;1.333333;51.283333;0
Aquitania;Bourges;SFE;Dressel 20;2.4;47.083333;0
Italia;Brindisi;PILEMO;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Frejus;GERMIS;Dressel 20;6.735237;43.432858;0
Tarraconensis;Barcelona;AMANDI;Pascual 1;2.1741;41.398371;0
Italia;Imperia;CPF;Dressel 2-4 Catalan;8.05;43.883333;0
Britannia;London;VRBANVSTIBERF;Mortarium;-0.093145;51.514248;0
Germania Superior;Alzey;CAEF;Dressel 20;8.115128;49.746574;0
Africa Proconsularis;Sousse (Hadrumetum);ALEXANDER;Operculum;10.636991;35.825388;0
Italia;Ancona;CASTRA;Lamboglia 2;13.5;43.633333;0
Italia;Canale Giancola;LMARCISATVR;Brindisian amphora;17.85;40.683333;0
Belgica;Choloy;LIVNIMELISSI;Dressel 20;5.817642;48.663156;0
Italia;Albinia;ARS;Dressel 1C;11.25;42.5;0
Corsica et Sardinia;Iles Lavezzi;VIC;Dressel 2-4 Catalan;9.254185;41.341096;0
Lugdunensis;Mont-Beuvray;HF;Dressel 1;4.032143;46.92678;0
Italia;Canale Giancola;SCOPAS;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Badalona;NIIN;Dressel 2-4 Catalan;2.244789;41.447145;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Britannia;Colchester;CANTONIQVIETI;Dressel 20;0.9;51.883333;0
Tarraconensis;Mataro;AS;Dressel 2-4 Catalan;2.444503;41.542113;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Salou;MPEIAV;Tegula;1.139829;41.076036;0
Lugdunensis;Mont-Beuvray;AI;Dressel 1;4.032143;46.92678;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Lugdunensis;Mont-Beuvray;M;Dressel 1;4.032143;46.92678;0
Narbonensis;Toulon;APM;Gauloise 4;5.941712;43.117705;0
Lugdunensis;Lyon?;PATVIC;Dressel 20;4.846711;45.748457;0
Italia;Canale Giancola;HERMAISCI;Brindisian amphora;17.85;40.683333;0
Italia;Brindisi;GLAVCI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Vicenc dels Horts;F;Pascual 1;2.007994;41.396145;0
Germania Inferior;Rommerskirchen;QVIN;Dressel 20;6.692361;51.035167;0
Italia;Brindisi;COTHPIX;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Lyon?;TATILIASIATICI;Dressel 20;4.846711;45.748457;0
Germania Inferior;Fort Vechten;CCRASSISEMNI;Dressel 20;5.179773;52.064313;0
