kml_name;kml_description;longitude;latitude;height
Avebury;;-1.849839854;51.42755956;0
Map overlay for Angkor Thom;This map shows the plan of Angkor Thom and includes Angkor Wat to the south and part of Preah Khan to the north.;103.842077;13.404276;0
Angkor;;103.8091541;13.40569349;0
Piramides de Giza;by Rafael rcaldara@ig.com.brimage from http://egyptphoto.ncf.caGiza B/W;31.124179;29.968472;0
Step pyramid, Saqqara;;31.2199065;29.86955034;0
Serapum, Saqqara;;31.21072588;29.87619457;0
Dashur Egypt;"<a href=""http://www.richard-seaman.com/Travel/Egypt/Dahshur/AllPyramids/"">Dashur</a>";31.20964576;29.80016609;0
Valley of the kings;;32.59772752;25.74446321;0
Glanum France;;4.828169823;43.7735405;0
Acropolis;;23.7254494;37.97091758;0
Konstantinbasilika;;6.643370015;49.75342875;0
Kaiserthermen;;6.641986847;49.74966221;0
Barbarathermen;;6.630075792;49.75019295;0
Viehmarktthermen;;6.637568686;49.75266738;0
R?merbr?cke;;6.626440871;49.75200129;0
Igeler S?ule;;6.549515048;49.70903309;0
Amphitheater;;6.64906662;49.74804349;0
Porta Nigra;;6.644092849;49.75972686;0
Liebfrauenkirche;;6.643245357;49.75567332;0
Trierer Dom;;6.643658886;49.75607441;0
Agrigento Sicily;.;13.59310998;37.29071864;0
Segester Theatre;;12.8446107;37.94098944;0
Segester Sicily, Doric Greek temple;;12.83313392;37.94118802;0
Paestum;;15.00833814;40.42280928;0
Pompei;;14.48734165;40.75104758;0
Thermae of Caracalla, Rome;Built bu the infamous Emperor Caracalla (188-217) it originally accommodated some 1,600 bathers as well as other activities such as sports and theatricals. The underground vaulted facilities for servicing the calidarium (hot baths) and tepidarium (lukewarm baths) were incredibly complex.;12.49262358;41.87914595;0
Hadrian's Villa Tivoli;;12.77570193;41.94381006;0
Hadrian's Tomb;;12.46792496;41.90273913;0
Pantheon Rome;;12.47784459;41.89849866;0
Colliseum / Forum  Rome;;12.49515643;41.88728067;0
Ostia;;12.29227614;41.75363881;0
Cerveteri tumulii;;12.10755957;42.00977154;0
