kml_name;kml_description;kml_description_2;longitude;latitude;height
Abana;;;36.05354977;33.67558148;0
Arnon;;;36.04477936;31.27410754;0
Besor;;;35.02319639;31.0008592;0
Brook of Egypt;;;34.15382152;30.69414263;0
Chebar;;;44.47948378;33.18987732;0
Euphrates;;;40.95355894;38.71838941;0
Habor;;;40.00856572;36.85912549;0
Jabbok;;;36.67081043;31.9478846;0
Jordan;;;35.57752588;32.71003674;0
Kishon;;;35.34609593;32.70596912;0
Kanah 1;;;35.24132265;32.14605088;0
Nile;;;31.31741628;2.137734316;0
Pharpar;;;35.83227137;33.36591415;0
Shihor-libnath;;;34.93970625;32.55040114;0
Tigris;;;40.9085835;38.68432205;0
Ulai;;;46.71902991;34.10425118;0
Zered;;;35.78321692;30.65690891;0
Salt Sea;;;35.55810471;31.7638925;0
Sea of Galilee;;;35.57768341;32.71005618;0
Syrtis;;;15.21579817;32.37220611;0
Abana / Barada River;"2Kgs <a href=""https://www.biblegateway.com/passage/?search=2Kgs.5.12&version=ESV"">5:12</a>";;36.239828;33.540154;0
Abana / Barada River;"2Kgs <a href=""https://www.biblegateway.com/passage/?search=2Kgs.5.12&version=ESV"">5:12</a>";;36.305;33.513542;0
Abarim (50% confidence);"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.70392;31.73113;0
Abarim (40% confidence);"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.69115;31.73113;0
Abarim (30% confidence);"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.62734;31.73113;0
Abarim (20% confidence);"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.65287;31.79701;0
Abarim (10% confidence);"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.56354;31.56646;0
Abarim;"Num <a href=""https://www.biblegateway.com/passage/?search=Num.27.12&version=ESV"">27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.47&version=ESV"">33:47</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.48&version=ESV"">33:48</a>, Deut <a href=""https://www.biblegateway.com/passage/?search=Deut.32.49&version=ESV"">32:49</a>, Jer <a href=""https://www.biblegateway.com/passage/?search=Jer.22.20&version=ESV"">22:20</a>";;35.7152;31.7539;0
Abdon / Tel Avdon;"Josh <a href=""https://www.biblegateway.com/passage/?search=Josh.21.30&version=ESV"">21:30</a>, 1Chr <a href=""https://www.biblegateway.com/passage/?search=1Chr.6.74&version=ESV"">6:74</a>";;35.161916;33.047692;0
Abel-beth-maacah / Tel Abel Beth Maacah;"2Sam <a href=""https://www.biblegateway.com/passage/?search=2Sam.20.14&version=ESV"">20:14</a>, <a href=""https://www.biblegateway.com/passage/?search=2Sam.20.15&version=ESV"">20:15</a>, <a href=""https://www.biblegateway.com/passage/?search=2Sam.20.18&version=ESV"">20:18</a>, 1Kgs <a href=""https://www.biblegateway.com/passage/?search=1Kgs.15.20&version=ESV"">15:20</a>, 2Kgs <a href=""https://www.biblegateway.com/passage/?search=2Kgs.15.29&version=ESV"">15:29</a>, 2Chr <a href=""https://www.biblegateway.com/passage/?search=2Chr.16.4&version=ESV"">16:4</a>";;35.581007;33.258051;0
Abel-keramim / Naur;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";;35.82938;31.867559;0
Abel-keramim / Sahab;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";;36.00486;31.87561;0
Abel-keramim / Tall al Umayri;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";;35.8881;31.8686;0
Abel-keramim / Merj Ekkeh;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";another name for Aija;35.855908;31.905663;0
Abel-keramim / Khirbet es Suq;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";;35.928768;31.87606;0
Abel-keramim / Kom Yajuz;"Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.11.33&version=ESV"">11:33</a>";;35.917261;32.030433;0
