kml_name;kml_description;longitude;latitude;height
nefer;Neferefre's Pyramid<br>29.895028<br>31.202461<br><br>;31.20246145;29.895028;0
niuse;Niuserre's Pyramid29.89567131.203555;31.20355533;29.895671;0
niuso;Niuserre Obelisk29.90407231.193811;31.19381076;29.90407155;0
sahur;Sahure29.89764731.203387;31.20338683;29.89764739;0
khafr;<table width="400" border="0" cellpadding="1" bgcolor="#dacdc3"><tr><td style="line-height: 11pt">Khafre <br>29.975981 <br>31.130754 <br>69 <br><br><img src="https://web.archive.org/web/20161028161842im_/http:/static.panoramio.com/photos/large/103264061.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161028161841/http://www.panoramio.com/photo/103264061">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161013150854im_/http:/static.panoramio.com/photos/large/24465887.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161013150853/http://www.panoramio.com/photo/24465887">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161022094932im_/http:/static.panoramio.com/photos/large/61063589.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161022094927/http://www.panoramio.com/photo/61063589">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161012073905im_/http:/static.panoramio.com/photos/large/18153659.jpg" style="max-width:640px" border="1" hspace="6" vspace="6" /> <br><a href="https://web.archive.org/web/20161012073904/http://www.panoramio.com/photo/18153659">Web Archive</a> <br></td></tr></table>;31.130754;29.975981;0
khugp;<table width="400" border="0" cellpadding="1" bgcolor="#dacdc3"><tr><td style="line-height: 11pt">Khufu <br>29.979195 <br>31.134207 <br>184 <br><br><img src="https://web.archive.org/web/20161031063727im_/http://static.panoramio.com/photos/large/124593489.jpg" style="max-width:640px" border="1" hspace="6" vspace="6" /><br><a href="https://web.archive.org/web/20161031063726/http://www.panoramio.com/photo/124593489">Web Archive</a><br><br><img src="https://web.archive.org/web/20161102005504im_/http://static.panoramio.com/photos/large/124593606.jpg" style="max-width:640px" border="1" hspace="6" vspace="6" /><br><a href="https://web.archive.org/web/20161102005503/http://www.panoramio.com/photo/124593606">Web Archive</a><br><br><img src="https://web.archive.org/web/20161013173152im_/http://static.panoramio.com/photos/large/24067009.jpg" style="max-width:640px" border="1" hspace="6" vspace="6" /><br><a href="https://web.archive.org/web/20161013173151/http://www.panoramio.com/photo/24067009">Web Archive</a><br><br></td></tr></table>;31.134207;29.979195;0
menka;Menkaure 29.97241931.12815366m;31.12815341;29.97241858;0
sphip;<table width="400" border="0" cellpadding="1" bgcolor="#dacdc3"><tr><td style="line-height: 11pt">Sphinx <br>29.975286 <br>31.137771 <br>25 <br><br><img src="https://web.archive.org/web/20161015034413im_/http:/static.panoramio.com/photos/large/38759561.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161015034412/http://www.panoramio.com/photo/38759561">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161026212817im_/http:/static.panoramio.com/photos/large/86669161.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161026212816/http://www.panoramio.com/photo/86669161">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161016160349im_/http:/static.panoramio.com/photos/large/47830189.jpg" style="max-width:640px" border="1" hspace="6" vspace="3" /> <br><a href="https://web.archive.org/web/20161016160348/http://www.panoramio.com/photo/47830189">Web Archive</a> <br><br><img src="https://web.archive.org/web/20161029131649im_/http:/static.panoramio.com/photos/large/93007617.jpg" style="max-width:640px" border="1" hspace="6" vspace="6" /> <br><a href="https://web.archive.org/web/20161029131648/http://www.panoramio.com/photo/93007617">Web Archive</a> <br></td></tr></table>;31.137771;29.975286;0
amenh;Amenhotep III25.71573632.65738680m;32.65738593;25.71573623;0
avsp1;Avenue of the Sphinxes I25.71277332.65586879;32.655868;25.712773;0
