Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
MEXICO-GUATEMALA:  S CHIAPAS;1968;09;25;MEXICO;114;5.7;Tsunami;20;;;;;;;MODERATE (~$1 to $5 million);15.5;-92.7;0
IRAN:  NE KHURASAN PROVINCE;1969;01;03;IRAN;11;5.6;;50;;;;;;;MODERATE (~$1 to $5 million);37.1;57.9;0
ITALY:  PERUGIA;1969;08;11;ITALY;33;4.7;;;4;;;;;;LIMITED (roughly corresponding to less than $1 million);43.2;12.4;0
CHINA:  XINJIANG PROVINCE;1969;09;14;CHINA;;5.5;;;;;;10;;;LIMITED (roughly corresponding to less than $1 million);39.7;74.8;0
COLOMBIA:  BAHIA SOLANO;1970;09;26;COLOMBIA;8;6.6;;;2;;;104;;0.4;LIMITED (roughly corresponding to less than $1 million);6.2;-77.6;0
PERU:  N /  ECUADOR:  S;1970;12;10;PERU;25;7.6;;82;350;;;;;6;SEVERE (~>$5 to $24 million);-4;-80.7;0
CHILE:  CENTRAL;1972;06;08;CHILE;39;6.6;Tsunami;;;;;;;;;-30.5;-71.8;0
TURKEY:  W / CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI;1975;03;27;TURKEY;5;6.7;;;;;;;;;MODERATE (~$1 to $5 million);40.42;26.14;0
TURKEY;1976;03;25;TURKEY;18;4.8;;1;;;;;;;MODERATE (~$1 to $5 million);41.13;43.01;0
CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI;1976;05;29;CHINA;8;7.3;;;;;;;;;SEVERE (~>$5 to $24 million);24.57;98.953;0
MEXICO:  ACAPULCO;1978;03;19;MEXICO;36;6.6;;1;25;;;;;;MODERATE (~$1 to $5 million);17.03;-99.74;0
MINDANAO ISLAND, PHILIPPINES;1978;06;14;PHILIPPINES;24;6.9;Tsunami;;;;;;;;;8.249;122.403;0
BALKANS NW:  SERBIA;1980;05;18;SERBIA;9;5.8;;;30;;;;;5;MODERATE (~$1 to $5 million);43.294;20.837;0
CALIFORNIA:  MAMMOTH LAKES;1980;05;25;USA;7;6.1;;;7;;;;;2;MODERATE (~$1 to $5 million);37.6;-118.84;0
INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS;1981;01;19;INDONESIA;33;6.7;;305;;;;;;5;MODERATE (~$1 to $5 million);-4.576;139.232;0
CALIFORNIA:  WESTMORLAND,CALIPATRIA;1981;04;26;USA;6;6;;;;;;;;1.5;MODERATE (~$1 to $5 million);33.133;-115.65;0
UNITED KINGDOM:  WALES;1984;07;19;UK;13;4.7;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);52.878;-4.198;0
PERU:  COAST:  CHIMBOTE;1985;08;21;PERU;57;6.1;;;100;;;60;;;MODERATE (~$1 to $5 million);-9.159;-78.887;0
IRAN:  S, MAMASANI, BUSHEHR, NURABAD;1988;08;11;IRAN;33;6.1;;1;;;;;;;MODERATE (~$1 to $5 million);29.974;51.679;0
INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU;1989;03;08;INDONESIA;32;5.6;;;;;;;;;SEVERE (~>$5 to $24 million);1.031;126.189;0
PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL;1989;03;10;PAPUA NEW GUINEA;53;5.4;;1;;;;;;;MODERATE (~$1 to $5 million);-4.346;152.797;0
MEXICO:  MEXICO CITY, ACAPULCO;1989;04;25;MEXICO;19;6.8;;3;;;;;;;MODERATE (~$1 to $5 million);16.773;-99.328;0
CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN;1989;05;07;CHINA;33;5.6;;1;91;;;5300;;54;EXTREME (~$25 million or more);23.553;99.526;0
ECUADOR:  ESMERALDAS, GUAYAQUIL;1989;06;25;ECUADOR;15;6.1;;;;;;;;;MODERATE (~$1 to $5 million);1.134;-79.616;0
HAWAIIAN ISLANDS:  PUNA DISTRICT;1989;06;26;USA;9;6.1;Tsunami;;5;;;105;;;MODERATE (~$1 to $5 million);19.362;-155.083;0
DJIBOUTI:  GALAFI, YABAKI;1989;08;20;DJIBOUTI;12;6.3;;2;2;;;;;;LIMITED (roughly corresponding to less than $1 million);11.766;41.942;0
ALGERIA:  ALGIERS, CHERCHELL, TIPAZA;1989;10;29;ALGERIA;6;5.7;Tsunami;30;245;;;;;5;MODERATE (~$1 to $5 million);36.788;2.448;0
KAZAKHSTAN:  UST, ZAYSAN;1990;06;14;KAZAKHSTAN;58;6.8;;1;;;;3000;;;SEVERE (~>$5 to $24 million);47.869;85.076;0
AFGHANISTAN:  HINDU KUSH:  PIK LENINA;1990;07;13;AFGHANISTAN;217;5.6;;43;;;;;;;;36.415;70.789;0
TURKEY:  CAMELI, DENIZLI;1990;07;18;TURKEY;17;5.1;;;;;;;393;;MODERATE (~$1 to $5 million);36.99;29.595;0
ECUADOR:  PAMASQUI,  QUITO;1990;08;11;ECUADOR;5;4.4;;4;10;;;;1300;;SEVERE (~>$5 to $24 million);-0.059;-78.449;0
