Volcano Name;Year;Month;Day;Elevation;Volcano Type;Status;Location;Country;Flag Tsunami;Flag Earthquake;Volcanic Explosivity Index;Deaths;Missing;Injuries;Damage (in M$);Damage Description;Houses destroyed;Lat;Lon;Height
Etna;-141;;;3350;Stratovolcano;Historical;Italy;Italy;;;;40;;;;;;37.734;15.004;0
Katla;1262;;;1512;Subglacial volcano;Historical;Iceland-S;Iceland;;;3;;;;;;;63.63;-19.05;0
Hekla;1300;7;11;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;4;;;;;;;63.98;-19.7;0
Aso;1331;12;;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;;;;;;;32.88;131.1;0
Vesuvius;1714;6;30;1281;Complex volcano;Historical;Italy;Italy;Tsunami;;;;;;;;;40.821;14.426;0
Savai'i;1907;10;6;1858;Shield volcano;Historical;Samoa-SW Pacific;Samoa;Tsunami;;;;;;;SEVERE (~>$5 to $24 million);;-13.612;-172.525;0
Asama;1911;8;15;2560;Complex volcano;Historical;Honshu-Japan;Japan;;;2;;;;;;;36.4;138.53;0
Colima;1913;1;20;3850;Stratovolcano;Historical;Mexico;Mexico;;;4;13;;;;;;19.514;-103.62;0
Cleveland;1944;6;10;1730;Stratovolcano;Historical;Aleutian Is;United States;;;3;1;;;;;;52.82;-169.95;0
Myojun Knoll;1952;9;16;360;Submarine volcano;Holocene;Izu Is-Japan;Japan;Tsunami;;2;;;;;;;32.1;139.85;0
Puyehue;1960;5;25;2236;Stratovolcano;Holocene;Chile-C;Chile;Tsunami;Earthquake;3;;;;;;;-40.59;-72.117;0
La Palma;1971;10;26;2426;Stratovolcano;Historical;Canary Is;Spain;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;28.58;-17.83;0
Ritter Island;1972;10;9;140;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;Tsunami;;1;;;;;;;-5.52;148.121;0
Soufriere St. Vincent;1979;4;13;1220;Stratovolcano;Historical;W Indies;St. Vincent & the Grenadines;;;3;2;;;;;;13.33;-61.18;0
Miyake-jima;1983;10;3;815;Stratovolcano;Historical;Izu Is-Japan;Japan;;Earthquake;3;;;;;LIMITED (roughly corresponding to less than $1 million);;34.08;139.53;0
Etna;1984;10;16;3350;Stratovolcano;Historical;Italy;Italy;;;3;1;;;;;;37.734;15.004;0
Aso;1990;10;19;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;1;;;;;;32.88;131.1;0
Etna;1991;12;14;3350;Stratovolcano;Historical;Italy;Italy;;;2;;;;2.5;MODERATE (~$1 to $5 million);;37.734;15.004;0
Semeru;1994;2;3;3676;Stratovolcano;Historical;Java;Indonesia;;;3;6;;;;;;-8.108;112.92;0
Salak;2007;7;7;2211;Stratovolcano;Historical;Java;Indonesia;;;;6;;;;;;-6.72;106.73;0
Fuego;2017;6;6;3763;Stratovolcano;Historical;Guatemala;Guatemala;;;2;;;;;MODERATE (~$1 to $5 million);;14.473;-90.88;0
Aoba;2017;9;23;1496;Shield volcano;Historical;Vanuatu-SW Pacific;Vanuatu;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;-15.4;167.83;0
Aoba;2018;3;30;1496;Shield volcano;Historical;Vanuatu-SW Pacific;Vanuatu;;;3;4;;;;MODERATE (~$1 to $5 million);;-15.4;167.83;0
Stromboli;2019;8;28;926;Stratovolcano;Historical;Italy;Italy;Tsunami;;2;;;;;;;38.789;15.213;0
Raung;1593;;;3332;Stratovolcano;Historical;Java;Indonesia;;;5;;;;;;;-8.125;114.042;0
Tengchong;1609;;;2865;Pyroclastic cone;Historical;China-S;China;;;;;;;;;;25.32;98.47;0
Serua;1692;6;4;641;Stratovolcano;Historical;Banda Sea;Pacific Ocean;;;4;;;;;;;-6.3;130;0
Pico;1718;2;1;2351;Stratovolcano;Historical;Azores;Portugal;;;2;2;;;;;;38.47;-28.4;0
Taupo;1846;5;7;760;Caldera;Radiocarbon;New Zealand;New Zealand;;;;63;;;;;;-38.82;176;0
Santorini;1866;2;20;329;Shield volcano;Historical;Greece;Greece;;;2;1;;;;;;36.404;25.396;0
Mauna Loa;1877;2;14;4170;Shield volcano;Historical;Hawaiian Is;United States;Tsunami;Earthquake;0;;;;;;;19.475;-155.608;0
Bagana;1883;12;;1750;Lava cone;Historical;Bougainville-SW Paci;Papua New Guinea;;;3;;;;;;;-6.14;155.195;0
Niuafo'ou;1886;8;31;260;Shield volcano;Historical;Tonga-SW Pacific;Tonga;;;4;;;;;;;-15.6;-175.63;0
Kirishima;1896;3;15;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;2;1;;1;;;;31.93;130.87;0
Pelee;1902;5;8;1397;Stratovolcano;Historical;W Indies;Martinique;Tsunami;;4;28000;;;;;;14.82;-61.17;0
Aoba;1914;;;1496;Shield volcano;Historical;Vanuatu-SW Pacific;Vanuatu;;;;100;;;;;;-15.4;167.83;0
Papandayan;1923;3;11;2665;Stratovolcano;Historical;Java;Indonesia;;;1;1;;;;;;-7.32;107.73;0
Santorini;1928;1;23;329;Shield volcano;Historical;Greece;Greece;;;2;48;;;;;;36.404;25.396;0
Akagi;1947;9;16;1828;Stratovolcano;Historical;Honshu-Japan;Japan;;;;699;;;;;;36.53;139.18;0
Agung;1963;3;18;3142;Stratovolcano;Historical;Lesser Sunda Is;Indonesia;Tsunami;;5;1028;;624;;;;-8.342;115.508;0
Semeru;1963;5;5;3676;Stratovolcano;Historical;Java;Indonesia;;;2;1;;;;;;-8.108;112.92;0
Taal;1965;9;28;400;Stratovolcano;Historical;Luzon-Philippines;Philippines;Tsunami;;4;355;;;;LIMITED (roughly corresponding to less than $1 million);;14.002;120.993;0
Vestmannaeyjar;1973;1;27;279;Submarine volcano;Historical;Iceland-S;Iceland;;;3;1;;;;;;63.43;-20.28;0
Karangetang [Api Siau];1974;2;11;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;3;4;;;;;;2.78;125.48;0
Kilauea;1975;11;29;1222;Shield volcano;Historical;Hawaiian Is;United States;Tsunami;Earthquake;0;;;;;;;19.425;-155.292;0
Chichon, El;1982;5;27;1150;Tuff cone;Historical;Mexico;Mexico;;;5;1;;;;;;17.36;-93.228;0
Oku Volc Field;1986;8;21;3011;Maar;Radiocarbon;Africa-W;Cameroon;;;3;1700;;300;;;;6.25;10.5;0
Semeru;1992;;;3676;Stratovolcano;Historical;Java;Indonesia;;;3;3;;;;;;-8.108;112.92;0
Yasur;1994;1;15;361;Stratovolcano;Historical;Vanuatu-SW Pacific;Vanuatu;;;3;1;;;;;;-19.52;169.425;0
San Cristobal;1998;10;30;1745;Stratovolcano;Historical;Nicaragua;Nicaragua;;;;1620;;;;;;12.702;-87.004;0
Tengger Caldera;2004;6;8;2329;Stratovolcano;Historical;Java;Indonesia;;;2;2;;5;;;;-7.942;112.95;0
Huila;2007;4;18;5365;Stratovolcano;Historical;Colombia;Colombia;;;;;;;;MODERATE (~$1 to $5 million);;2.92;-76.05;0
Chaiten;2008;5;2;962;Caldera;Holocene;Chile-S;Chile;;;;1;;;;;;-42.833;-72.646;0
Kasatochi;2008;8;8;314;Stratovolcano;Historical;Aleutian Is;United States;Tsunami;;3;;;;;;;52.18;-175.5;0
Merapi;2017;12;18;2947;Stratovolcano;Historical;Java;Indonesia;;;;8;;8;;;;-7.542;110.442;0
Masaya;-4050;;;635;Caldera;Historical;Nicaragua;Nicaragua;;;6;;;;;;;11.984;-86.161;0
Vesuvius;-2420;;;1281;Complex volcano;Historical;Italy;Italy;;;5;;;;;;;40.821;14.426;0
Vesuvius;79;8;25;1281;Complex volcano;Historical;Italy;Italy;Tsunami;Earthquake;5;2100;;;;;;40.821;14.426;0
Chichon, El;1375;;;1150;Tuff cone;Historical;Mexico;Mexico;;;5;;;;;;;17.36;-93.228;0
Kelut;1376;;;1731;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;;;-7.93;112.308;0
Campi Flegrei;1538;9;29;458;Caldera;Historical;Italy;Italy;;;3;24;;;;;;40.827;14.139;0
Unzen;1664;4;15;1500;Complex volcano;Historical;Kyushu-Japan;Japan;;;2;30;;;;;;32.75;130.3;0
Cotopaxi;1698;;;5911;Stratovolcano;Historical;Ecuador;Ecuador;;;3;;;;;;;-0.677;-78.436;0
Gamalama;1775;;;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;3;1300;;;;;;0.8;127.325;0
Mayon;1800;10;30;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;2;;;;;;;13.257;123.685;0
Usu;1822;3;9;731;Stratovolcano;Historical;Hokkaido-Japan;Japan;;;4;50;;53;;;;42.53;140.83;0
Galunggung;1822;10;8;2168;Stratovolcano;Historical;Java;Indonesia;;;5;4011;;;;SEVERE (~>$5 to $24 million);;-7.25;108.05;0
Gamalama;1840;2;2;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;Tsunami;;2;;;;;;;0.8;127.325;0
Miyake-jima;1874;7;3;815;Stratovolcano;Historical;Izu Is-Japan;Japan;;;3;1;;;;;;34.08;139.53;0
Piparo;1911;11;3;140;Mud volcano;Historical;Trinidad;Trinidad;Tsunami;;;;;;;;;10;-61;0
Semeru;1911;11;8;3676;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Stromboli;1916;7;3;926;Stratovolcano;Historical;Italy;Italy;Tsunami;;3;;;;;;;38.789;15.213;0
Dieng Volc Complex;1928;5;13;2565;Complex volcano;Historical;Java;Indonesia;;;2;40;;;;;;-7.2;109.92;0
