kml_name;kml_description;longitude;latitude;height
НИИАР;"<img src="https://lh6.googleusercontent.com/proxy/dHJPRqXxYHyFRKFrydu-rqsi5b_bx1xTQNFL8dA9H-jVIRvdQv_jzO5tf8f-KfReIQCioUb-tY-Y2A4l4ig6sqlkAXcTs2DccdPVXnjo39_4cfXi" height="200" width="auto" /><br><br>НИИАР в Димитровграде был основан в 1956 году. В институте действуют 6 исследовательских ядерных реакторов, радиохимический комплекс и комплекс по обращению с радиоактивными отходами и др. 31 января 1996 года произошел выброс 4 тонн радиоактивной парогазовой смеси в атмосферу  на реакторе ВК-50. Летом 1997 года на реакторе МИР произошел повышенный выброс в атмосферу радиоактивного йода-131, воздействие которого может привести к раку щитовидной железы. Начиная с 1966 года,  жидкие радиоактивные отходы закачивают в подземные водоносные горизонты. Экологи опасаются дальнейшего распространения радиоактивных отходов. Подробнее о предприятии и других авариях на нем можно прочитать здесь<br> (http://anti-atom.ru/ab/node/1934)";49.592285;54.20101;0
УЭХК;"<img src="https://lh6.googleusercontent.com/proxy/2Jcn5nAbzAnYbLnB3j190crUXnf65Ri2wuzwkCJqqpI1oANtuCbUY7a3D5I_pEm3-NavRME4vHXATpmqpUYze-vYgj7B" height="200" width="auto" /><br><br>Уральский Электрохимический Комбинат в Новоуральске начал работать в 1949. Сегодня - крупнейшее в мире предприятие по обогащению урана. Принимал радиоактивные отходы (отвальный гексафторид урана, ОГФУ) из-за рубежа по контракту Минатома и западноевропейской компании Urenco. С 1996 года по этому контракту на 4 российских урановых комбината было ввезено более 100.000 тонн радиоактивных отходов. В 2009 году, благодаря активным протестам экологов, ввоз ОГФУ в РФ с предприятий Urenco  был остановлен. В результате как собственной деятельности, так и ввоза отходов на предприятии скопилось несколько сотен тысяч тонн ОГФУ. По мнению Ростехнадзора, проблема безопасного хранения ОГФУ до сих пор не решена. Согласно ведомственным отчетам, отходы хранятся без соблюдения соответствующих норм безопасности, а контейнеры подвержены коррозии. По сообщениям экологов, хранилища представляют из себя асфальтовые площадки под открытым небом.<br>Дополнительная информация (www.anti-atom.ru)";60.07574902116571;57.2895913659287;0
Канский гранитоидный массив;"<img src="https://lh4.googleusercontent.com/proxy/P7McsHciaw9FnZSGqzYqJhJFNC0hAz_YNtE_zDztbJI0avIk7DnU0hhjeyOTsFwCVZXLPz_28kOwGmI" height="200" width="auto" /><br><br>Наиболее вероятное место захоронения ядерных отходов с гражданских АЭС и ядерных предприятий РФ, а также с иностранных АЭС. Впервые об исследованиях в этом месте сообщалось в 2002 году. Ни в одной стране мира не решена проблема окончательного захоронения радиоактивных отходов. Причина - отсутствие технологии, позволяющей гарантировать безопасность на все время, пока отходы будут оставаться опасными. Например, в США этот срок оценивается в 1 млн лет. Кроме того, периодически ведутся консультации между российскими и американскими специалистами о перемещении под Канск отработавшего ядерного топлива из Тайваня (топливо находится под контролем США). Первый известный доклад, посвященный этой теме, был сделан Ливерморской ядерной лабораторией по заказу Департамента Энергетики США в 1999 году. Данные из него публиковались в газете "Версия" в 2001 году.";95.73211700000002;56.202885;0
Ангарский Электролизно-Химический Комбинат;"<img src="https://lh5.googleusercontent.com/proxy/REFnGOOiG0mtegHW0MFoLNUq_wU0yQt3Cb9Al0F9l3hhQwxiIHi2A0ApBoo3XcFM1xN1cFyxccaBTLZDZ3PTl0yJVA1_LLCbQvWToslEIOd-4BOBuOAwOtS5yZ62d4Mm" height="200" width="auto" /><br><br>Решение о его строительстве комбината было принято в 1954 году, а в октябре 1957-го было запущено разделительное производство. По данным "Росатома", численность персонала - 6000 человек в нынешнем году должна быть снижена до 4200, а в 2012-м до 2000. В 2007-м на базе АЭХК создан т.н."Международный центр по обогащению урана (МЦОУ)". Центр не является новым объектом, скорее это резервирование части мощностей комбината под международные цели - обогащение урана для других стран. Потенциальными заказчиками услуги могут стать практические любые государства, включая Иран. В отношении АЭХК и МЦОУ активно протестуют экологи, требующие либо найти способ утилизации огромного количества отходов, либо прекратить их производить и принимать из-за рубежа. Принимал радиоактивные отходы (отвальный  гексафторид урана, ОГФУ) из-за рубежа по контракту Минатома и западно-европейской компании Urenco. С 1996 года по этому контракту на 4 российских урановых комбината было ввезено более 100.000 тонн радиоактивных отходов. В 2009 году, благодаря активным протестам экологов, ввоз ОГФУ в РФ с заводов компании Urenco был остановлен. В результате как собственной деятельности, так и ввоза отходов из-за рубежа на предприятии скопилось около миллиона тонн этих радиоактивных и токсичных отходов. о этому показателю Ангарск абсолютный лидер в России. По мнению Ростехнадзора, проблема безопасного хранения ОГФУ до сих пор не решена. Согласно ведомственным отчетам, отходы хранятся без соблюдения соответствующих норм безопасности, а контейнеры подвержены коррозии. По сообщениям экологов, хранилища представляют из себя асфальтовые площадки под открытым небом. (на фото) Дополнительная информация (http://anti-atom.ru/ab/node/1960) (глазами экологов)<br>О проблемах на предприятии глазами атомщиков (http://www.proatom.ru/modules.php?name=News&file=article&sid=2516&mode=flat&order=1&thold=0)";103.913498;52.544625;0
АЭС Варта;Четыре реактора ВВЭР-1000 общей мощностью 4000 МВт;17.96329517525012;52.52786470791969;0
АЭС Синпхо;Четыре реактора ВВЭР-440 общей мощностью 1760 МВт Начало строительства 1987Закрытие стройки 1991	Сейчас ведётся демонтаж станции;128.3391446132218;40.09542357670484;0
Darkhovin_Nuclear_Power_Plant;The Darkhovin Nuclear Power Plant (also known as Esteghlal Nuclear Power Plant) is a planned nuclear power plant located about 70 kilometers south of Ahvaz, Iran at the Karun river, as part of the nuclear program of Iran. One reactor is firmly planned. Some other projects on this site were cancelled.Before the Iranian Revolution, Iran had signed a 2 billion dollar contract with French company Framatome to build two 910 MW pressurized water reactors, at Darkhovin. After the Revolution, France withdrew from the project and the engineering components of the plant were withheld in France. The Iranian components were then used to build the units 5 and 6 of Gravelines Nuclear Power Station in France which went online in 1985.[1] Construction of the power station was halted during Iran–Iraq War. In 1992, Iran signed an agreement with China to build two 300 MW reactors at the site, which were to be completed within ten years and would have been similar to Chashma Nuclear Power Plant in Pakistan which is built by China.[2] But later on China withdrew from the project under United States pressure.[3][4]The project was subsequently taken up by Iran itself, as no other country was ready to cooperate in its construction.[5] Iran started to indigenously design the reactor for Darkhovin Nuclear Power Plant basing the design on IR-40 reactor using heavy water. The Iranian nuclear reactor design has a capacity of 360 MW. The plant was announced in 2008, originally scheduled to come online in 2016,[6] but construction has been delayed.[7] There is currently no public information on how many reactors the power station is planned to house. The plant is going to be Iran's first indigenously designed and built nuclear power plant besides the research reactor of IR-40.;48.37615919991853;30.70240044533512;0
Исседовательский центр Таджура;Tajoura Nuclear Research Centre (TNRC);13.45293638466437;32.83730695477326;0
АЭС Сирт;Два реактора ВВЭР-440  мощностью 880 МВт	Работы прекращены в 1984 году на стадии разработки проекта из-за разногласий сторон;16.80658641569313;31.13674344119711;0
АЭС Штендаль;"<img style="max-width:500px;" src="1991_112_438_Niederg?rne_0.jpg"><br><br>АЭС Штендаль — недостроенная атомная электростанция в Восточной Германии в 100 км западнее Берлина, строившаяся по советскому проекту на основе реакторов ВВЭР-1000/320. Строительство станции было прекращено в 1991 году, когда правительство Германии приняло решение о сокращении атомной энергетики (после 1991 года в Германии не было введено ни одного нового энергоблока атомных электростанций).<br><br>АЭС Штендаль должна была стать крупнейшей восточногерманской электростанцией мощностью 4000 МВт (после полного запуска она бы стала не только самой мощной в ГДР, но и во всей Германии). Территориально станция находилась в центре ГДР и должна была обеспечивать энергией промышленных потребителей городов Магдебург и Потсдам.<br><br>В 1974 году восточногерманским правительством предварительно планировалось возвести на данной площадке АЭС с тремя 1300-мегаваттными реакторами типа PWR фирмы Kraftwerk Union (нем.)русск. (KWU), аналогичных использующемуся на энергоблоке «B» АЭС Библис, однако в сентябре 1979 года было заключено соглашение с СССР о возведении АЭС с четырьмя энергоблоками по 1000 МВт с реакторами ВВЭР-1000/320. Вскоре были начаты строительные работы.<br><br>К возведению первого энергоблока приступили 1 декабря 1982 года, второго — 1 декабря 1984-го. Под третий и четвёртый энергоблоки были зарезервированы площадки, однако к их возведению не приступали. По плану энергоблок №1 должен был быть подключен к сети к декабрю 1991 года, блок №2 — к июню 1993 года, блок №3 к декабрю 1996 года, и блок №4 после 1996 года.<br><br>АЭС Штендаль, несмотря на то, что возводилась по унифицированному проекту четырехблочной АЭС с применением типовых реакторов так называемой «большой серии» — ВВЭР-1000/320, во многом отличалась от строившихся тогда же советских станций-близнецов (Балаковская, Башкирская, Крымская, Ростовская, Татарская, Хмельницкая АЭС). Совместно с немецкими специалистами были произведены существенные доработки проекта, в частности в конструкцию реакторного отделения была добавлена дополнительная гермооболочка помещения реактора. Тем не менее, после объединения Германии, станция была признана не соответствующей требованиям безопасности, также было заявлено, что она имела завышенную строительную стоимость в сравнении с западногерманскими аналогами. Возведение станции было остановлено 1 марта 1991 года.";12.01917627854372;52.7247955559523;0
