kml_name;kml_description;longitude;latitude;height
West Eifel Volcanic Field;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>West Eifel Volcanic Field</b></font><br /><font size="5"><b>Western Europe</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/015001.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Maar(s)</td><td width="50%" align="left"><b>Summit Elev:</b> 600 m<br /><b>Latitude:</b> 50.17&degN<br /><b>Longitude:</b> 6.85&degE</td></tr><tr><td colspan="2"><p align="justify">The West Eifel Volcanic Field of western Germany, SW of the city of Bonn, is a dominantly Pleistocene group of 240 scoria cones, maars, and small stratovolcanoes covering an area of about 600 km2. The smaller, but better known, East Eifel Volcanic Field is about 40 km NE. Individual vents spread across a broad NW-SE-trending area extending about 50 km from the towns of Ormont on the NW to Bad Bertrich on the SE. Eruptions originated from a mantle plume through Devonian sedimentary and metamorphic rocks. Two-thirds of the volcanic centers in the field are scoria cones lava flows have been produced from about half of them. About 30% of the centers are maars or tuff rings, many of which are occupied by lakes. About 230 eruptions have occurred during the past 730,000 years. The latest eruptions formed the Ulmener, Pulvermaar, and Strohn maars around the end of the Pleistocene and the beginning of the Holocene.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=210010">Smithsonian Volcano Information</a></td></tr></table>;6.85;50.17;0
Chaine des Puys;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Chaine des Puys</b></font><br /><font size="5"><b>Western Europe</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/088002.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Lava dome(s)</td><td width="50%" align="left"><b>Summit Elev:</b> 1464 m<br /><b>Latitude:</b> 45.775&degN<br /><b>Longitude:</b> 2.97&degE</td></tr><tr><td colspan="2"><p align="justify">The Cha?ne des Puys, prominent in the history of volcanology, form a N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central that has been active into the Holocene. Construction of the present-day Cha?ne des Puys began about 70,000 years before present (BP), and was largely completed by the beginning of the Holocene. Holocene eruptions constructed lava domes such as the Puy de D?me, whose growth was accompanied by pyroclastic flows, cinder cones that fed lengthy lava flows, and maars. The latest well-documented activity took place about 6000 BP near Besse-en-Chandesse and included the powerful explosions that formed the Lac Pavin maar. The dating of younger tephras has not yet been confirmed, and reports of historical eruptions as late as 1000 BP have been discredited.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=210020">Smithsonian Volcano Information</a></td></tr></table>;2.97;45.775;0
Olot Volcanic Field;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Olot Volcanic Field</b></font><br /><font size="5"><b>Western Europe</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/119091.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Pyroclastic cone(s)</td><td width="50%" align="left"><b>Summit Elev:</b> 893 m<br /><b>Latitude:</b> 42.17&degN<br /><b>Longitude:</b> 2.53&degE</td></tr><tr><td colspan="2"><p align="justify">The Olot volcanic field (also known as the Garrotxa volcanic field) occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona.  The field consists of a large number of Strombolian pyroclastic cones and associated alkali basaltic lava flows, and is part of the NE Volcanic Province, which includes the Ampurd?n and Selva areas to the SE.  The pyroclastic cones are preferentially located at the intersection of E-W and NW-SE faults that cut sedimentary and metamorphic basement rocks.  The latest dated eruption occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=210030">Smithsonian Volcano Information</a></td></tr></table>;2.53;42.17;0
Calatrava Volcanic Field;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Calatrava Volcanic Field</b></font><br /><font size="5"><b>Western Europe</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/118054.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Pyroclastic cone(s)</td><td width="50%" align="left"><b>Summit Elev:</b> 1117 m<br /><b>Latitude:</b> 38.87&degN<br /><b>Longitude:</b> 4.02&degW</td></tr><tr><td colspan="2"><p align="justify">The Calatrava volcanic field lies in central Spain near Ciudad Real. The more than 300 basaltic-to-foiditic pyroclastic cones, maars, and lava domes cover an area of more than 5000 km2. The field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. It lies in a continental rift setting and contains several lake-filled maars. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=210040">Smithsonian Volcano Information</a></td></tr></table>;-4.02;38.87;0
Vulsini;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Vulsini</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/015006.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Caldera</td><td width="50%" align="left"><b>Summit Elev:</b> 800 m<br /><b>Latitude:</b> 42.6&degN<br /><b>Longitude:</b> 11.93&degE</td></tr><tr><td colspan="2"><p align="justify">The Vulsini volcanic complex in central Italy covers about 2,200 km2 at the northern end of the Roman Magmatic Province. Following lava extrusion and explosive eruptions that constructed the main complex, the 16-km-wide, lake-filled Bolsena caldera on the east and the 8 x 11 km Latera caldera on the west were formed during major Pleistocene explosive eruptions at about 0.3 and 0.16 million years ago, respectively. Five major Plinian fall deposits were erupted from vents at or near Latera caldera during the late Pleistocene. The latest major eruption formed unwelded pumice flows and welded airfall tuffs of the Pitigliano Formation, associated with collapse of the Vepe caldera about 166,000 years ago at the NW end of Latera caldera. Post-caldera volcanism produced scoria cones and lava flows from vents within and to the west of Latera caldera. Youthful-looking remnants of ash cones in Lake Bolsena may have given rise to a legend of a pre-historical fire-god, Volta. An historical report noted that "a flame shot up near Volsini" in 104 BCE.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211003">Smithsonian Volcano Information</a></td></tr></table>;11.93;42.6;0
Colli Albani;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Colli Albani</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/088019.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Caldera</td><td width="50%" align="left"><b>Summit Elev:</b> 949 m<br /><b>Latitude:</b> 41.73&degN<br /><b>Longitude:</b> 12.7&degE</td></tr><tr><td colspan="2"><p align="justify">The Colli Albani (Alban Hills) complex immediately SE of Rome contains a large Pleistocene stratovolcano with a 10 x 12-km-wide caldera formed during an eruptive period with six major explosive eruptions that produced at least 280 km3 of ejecta between about 560,000 and 350,000 years ago.  Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the Artemisio-Tuscolana caldera and on its outer flanks.  The post-caldera eruptions have buried the western side of the caldera rim.  The largest of the post-caldera craters is Lake Albano, a 4 x 2.5-km-wide compound maar constructed at the WSW margin of the caldera in multiple stages dating back to about 69,000 years ago.  The age of the most recent eruptions from the Albano maar is not known precisely variable dates range from about 36,000 years ago to perhaps the Holocene, when several possibly non-volcanic lake overflow lahars occurred.  Reported historical eruptions during the Roman period are uncertain, but subsequent seismic swarms lasting up to two years have been recorded.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211004">Smithsonian Volcano Information</a></td></tr></table>;12.7;41.73;0
Campi Flegrei;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Campi Flegrei</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/015011.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Caldera</td><td width="50%" align="left"><b>Summit Elev:</b> 458 m<br /><b>Latitude:</b> 40.827&degN<br /><b>Longitude:</b> 14.139&degE</td></tr><tr><td colspan="2"><p align="justify">Campi Flegrei is a large 13-km-wide caldera on the outskirts of Naples that contains numerous phreatic tuff rings and pyroclastic cones. The caldera margins are poorly defined, and on the south lie beneath the Gulf of Pozzuoli. Episodes of dramatic uplift and subsidence within the dominantly trachytic caldera have occurred since Roman times. The earliest known eruptive products are dated 47,000 yrs BP. The caldera formed following two large explosive eruptions, the massive Campanian ignimbrite about 36,000 BP, and the over 40 km3 Neapolitan Yellow Tuff (NYT) about 15,000 BP. Following eruption of the NYT a large number of eruptions have taken place from widely scattered subaerial and submarine vents. Most activity occurred during three intervals: 15,000-9500, 8600-8200, and 4800-3800 BP. Two eruptions have occurred in historical time, one in 1158 at Solfatara and the other in 1538 that formed the Monte Nuovo cinder cone.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211010">Smithsonian Volcano Information</a></td></tr></table>;14.139;40.827;0
Vesuvius;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Vesuvius</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/015031.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Stratovolcano</td><td width="50%" align="left"><b>Summit Elev:</b> 1281 m<br /><b>Latitude:</b> 40.821&degN<br /><b>Longitude:</b> 14.426&degE</td></tr><tr><td colspan="2"><p align="justify">One of the world's most noted volcanoes, Vesuvius (Vesuvio) forms a dramatic backdrop to the Bay of Naples. The historically active cone of Vesuvius was constructed within a large caldera of the ancestral Monte Somma volcano, thought to have formed incrementally beginning about 17,000 years ago. The Monte Somma caldera wall has channeled lava flows and pyroclastic flows primarily to the south and west. Eight major explosive eruptions have taken place in the last 17,000 years, often accompanied by large pyroclastic flows and surges, such as during the well-known 79 CE Pompeii eruption. Intermittent eruptions since 79 CE were followed by a period of frequent long-term explosive and effusive eruptions beginning in 1631 and lasting until 1944. The 1631 eruption was the largest since 79 CE and produced devastating pyroclastic flows that reached as far as the coast and caused great destruction. Many towns are located on the volcano's flanks, and several million people live within areas potentially affected by eruptions of Vesuvius.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211020">Smithsonian Volcano Information</a></td></tr></table>;14.426;40.821;0
Palinuro;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Palinuro</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Submarine</td><td width="50%" align="left"><b>Summit Elev:</b> -70 m<br /><b>Latitude:</b> 39.48&degN<br /><b>Longitude:</b> 14.83&degE</td></tr><tr><td colspan="2"><p align="justify">Palinuro seamount in the Tyrrhenian Sea north of the Eolian Islands rises nearly 3000 m to within 70 m of the sea surface and has a horseshoe-shaped summit caldera.   A marine ash layer (PL-1) radiocarbon dated (calibrated age) at 9990 +/- 90 years ago is chemically and stratigraphically similiar to two ash layers of similar composition onland in southern Italy and was tentatively correlated to the Palinuro seamount activity (Siani et al., 2004).</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211031">Smithsonian Volcano Information</a></td></tr></table>;14.83;39.48;0
Ischia;<table border="0" cellspacing="3" width="320" align="center"><tr align="left"><td colspan="2"><a href="https://volcano.si.edu/"><img src="https://volcano.si.edu/includes/images/gvp_logo.png" width="400" height="80" /></a></td></tr><tr align="center"><td colspan="2"><hr /><font size="6"><b>Ischia</b></font><br /><font size="5"><b>Italy</b></font></td></tr><tr align="center"><td colspan="2"><img src = "https://volcano.si.edu/Photos/small/104074.jpg"></td></tr><tr align="left" valign="top"><td width="50%" align="left"><b>Volcano type:</b><br />&nbsp&nbsp&nbsp Complex</td><td width="50%" align="left"><b>Summit Elev:</b> 789 m<br /><b>Latitude:</b> 40.73&degN<br /><b>Longitude:</b> 13.897&degE</td></tr><tr><td colspan="2"><p align="justify">The Ischia volcanic complex forms a rectangular, 6 x 9 km island immediately SW of the Campi Flegrei area at the western side of the Bay of Naples. The eruption of the trachytic Green Tuff ignimbrite about 56,000 years ago was followed by caldera formation. The high point on the island, Monte Epomeo, is a volcanic horst composed of the Green Tuff ignimbrite deposit that was submerged after its eruption and then uplifted. Volcanism on the island has been significantly affected by tectonism that formed a series of horsts and grabens at least 800 m of uplift has formed as a result of resurgent doming during past 33,000 years. Many small monogenetic volcanoes were formed around the uplifted block. Volcanism during the Holocene produced a series of pumiceous tephras, tuff rings, lava domes, and lava flows, and a major collapse of Mount Epomeo produced a large submarine debris-avalanche deposit. The latest eruption, in 1302 CE, produced a spatter cone and the Arso lava flow, which reached the NE coast.</p></td></tr><tr height="6"><td colspan="2"><hr /></td></tr></table><table border="0" cellspacing="0" cellpadding="0" width="320" align="center"><tr align="center"><td width="33%"><a href="https://volcano.si.edu/volcano.cfm?vn=211030">Smithsonian Volcano Information</a></td></tr></table>;13.897;40.73;0
