region;probability;age M;daimeter km;webpage;longitude;latitude;height
Азия;Предполагаемый;;276;http://labmpg.sscc.ru/a2537.html;91.79314;53.59485;0
Центральная Америка;Неустановленный;;1.6;http://labmpg.sscc.ru/a1468.html;-77.007231;26.342212;0
Европа;Предполагаемый;;40;http://labmpg.sscc.ru/a2483.html;62.06;66.36;0
Австралия;Предполагаемый;;1.5;http://labmpg.sscc.ru/a1469.html;133.280338;-24.399419;0
Австралия;Неустановленный;;0.11;http://labmpg.sscc.ru/a1039.html;133.269067;-24.462926;0
Австралия;Неустановленный;;0.3;http://labmpg.sscc.ru/a2602.html;133.225122;-24.492967;0
Азия;Предполагаемый;;0.6;http://labmpg.sscc.ru/a2806.html;49.376186;26.600682;0
Северная Америка;Предполагаемый;0.0129;;http://labmpg.sscc.ru/a1470.html;-109.1187859;44.6664553;0
Азия;Предполагаемый;0.0129;;http://labmpg.sscc.ru/a2857.html;36.4;35.8667;0
Азия;Предполагаемый;;4;http://labmpg.sscc.ru/a2198.html;37.32628;24.694192;0
Северная Америка;Достоверный;>94±90 (95. 3-95);12;http://labmpg.sscc.ru/a596.html;-156.494806;71.250111;0
Европа;Неустановленный;3.1;1.7;http://labmpg.sscc.ru/a1412.html;29.676625;63.33206;0
Европа;Вероятный;<570 (542);9.5;http://labmpg.sscc.ru/a458.html;17.73537;62.47112;0
Азия;Предполагаемый;;0.25;http://labmpg.sscc.ru/a2310.html;53.29601;34.59616;0
Австралия;Предполагаемый;300;400;http://labmpg.sscc.ru/a2113.html;132;-26;0
Австралия;Неустановленный;1475y (535y) ?;43;http://labmpg.sscc.ru/a2859.html;;;0
Австралия;Неустановленный;Late Holocene;;http://labmpg.sscc.ru/a1586.html;;;0
Индийский океан;Предполагаемый;0.045;14;http://labmpg.sscc.ru/a1116.html;77.7;-50.7;0
Африка;Вероятный;;1;http://labmpg.sscc.ru/a500.html;-11.4281845;19.4766265;0
