kml_name;kml_description;longitude;latitude;height
Хофбург;Ориентация на Великую пирамиду Азимут 142.85;16.36626629;48.20650461;0
Улуру;78.45;2.318461143;48.86193667;0
Тр Пенты;;6.132686865;49.61097105;0
Тиуанако;248.74;7.604548497;44.99533155;0
Пражский Град;Направление на ТеотиуаканАзимут 300.09;14.40131253;50.09100078;0
На УЛУРУ;73.64Карта от 7.2013;-0.187674895;51.50509174;0
На ТИУАНАКО;248.57;7.419862923;43.73172563;0
На Тиуанако;250.97;10.79929215;45.16070141;0
На Теотиуакан;298.33;12.49721503;55.77866112;0
Монако;To Teotihuacan / На ТеотиуаканДля карты 10.13.2018.Ориентация на ТеотиуаканАзимут 295.22;7.420616774;43.73142354;0
Дворец съездов;<p style="text-align:center"><a href="https://geolines.ru/publications/tayna-planety-zemlya/ch15-3-Moscow.html" target="_blank">Кремлёвский Дворец /&nbsp;Kremlin palace</a></p><p style="text-align:center"><img alt="" src="http://geolines.ru/netcat_files/18/10/h_d4de84c5b86b6d2317c006227c1ee364" style="width:350px" /></p>;37.61428795;55.75134819;0
Гатчина - Остров Пасхи;301.21;30.10963596;59.56298837;0
ВП;126.6;10.79954113;45.1610752;0
Villa Regina;<p style="text-align:center"><a href="https://lh5.googleusercontent.com/p/AF1QipOLbBB71ZVxCBlQogtgAsVkJjC3-tLztww8wgnq=h720" target="_blank">Villa Regina / Вилла Реджина </a></p><p style="text-align:center"><img alt="" src="https://lh5.googleusercontent.com/p/AF1QipOLbBB71ZVxCBlQogtgAsVkJjC3-tLztww8wgnq=h720" style="height:202px; width:400px" /></p>;7.707703;45.05836456;0
Villa Regina;Direction to TiwanakuAzimuth 248.82°;7.708718726;45.05808084;0
Victoria & Albert Mausoleum;Ориентация на СамайпатуАзимут 238.04;-0.598114174;51.47419389;0
VERSALLES - SOLOMON TEMPLE;AZIMUTH 112.13°DISTANCE 3351 KM = 30.1°;2.12059692;48.80524132;0
Veneciya;252.05;12.33951443;45.43476223;0
