kml_name;kml_description;longitude;latitude;height
Roof of the catedral;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(190476362,'000145',19,56.736668,38.852278,'n')"><div id="hint">gorod Pereslavl'-Zalesskiy,Yaroslavskaya oblast',Russia</div></body></html>;38.85255406;56.73679227;0
Troitsky Cathedral Alexandrov Kremlin;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(95552134,'000145',17,56.400652,38.738995,'n')"><div id="hint">Vladimirskaya oblast',Russia,601652</div></body></html>;38.73999558;56.40060579;0
Troitse-Sergiyeva Lavra;<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2" face="Tahoma" color="Maroon" >Троице-Сергиева лавра / Troitse-Sergiyeva Lavra </font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/temples-palaces/temples-palaces_648.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_82c3e3c59799e97addfadb9a42e82a94" /></td><td><a href="http://www.geolines.ru/research/research_52.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>;38.13045167;56.30997402;0
Church of the Intercession on the Nerl;<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2" face="Tahoma" color="Maroon" >ПОКРОВА НА НЕРЛИ / Church of the Intercession on the Nerl</font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/temples-palaces/temples-palaces_701.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_cc481ca437cb53fe0ce04b7f0d9b5041" /></td><td><a href="http://www.geolines.ru/research/research_443.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>;40.56318056;56.19564444;0
ХРАМ ГЕОРГИЯ ПОБЕДОНОСЦА ВЛАДИМИР;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(95441975,'000145',17,56.126957,40.402179,'n')"><div id="hint">Vladimirskaya oblast',Russia</div></body></html>;40.40240694;56.12710534;0
Храм Архангела Михаила;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138902498,'000145',18,56.124870,40.387051,'n')"><div id="hint">Vladimirskaya oblast',Russia</div></body></html>;40.38739735;56.12500293;0
Cathedral of the Nativity in Suzdal;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(60790820,'000145',16,56.416922,40.441717,'n')"><div id="hint">Vladimir Oblast,Russia</div></body></html>;40.44344886;56.41682367;0
Peter and Paul Church, Suzdal, 1694;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(142447674,'000145',18,56.427890,40.436420,'n')"><div id="hint">Suzdal,Vladimir Oblast,Russia</div></body></html>;40.43651184;56.42812426;0
Суздаль. Входоиерусалимская и Пятницкая церковь;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(93482684,'000145',17,56.418863,40.446467,'n')"><div id="hint">Suzdal,Vladimir Oblast,Russia</div></body></html>;40.44713792;56.41893734;0
Суздаль. Успенская церковь;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(93310068,'000145',17,56.417967,40.445448,'n')"><div id="hint">Suzdal,Vladimir Oblast,Russia</div></body></html>;40.44620736;56.4179121;0
Георгиевский собор, XIII век St George's Cathedral. Yuriev-Pol'skiy, XIII Century;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61420957,'000145',16,56.496588,39.679644,'n')"><div id="hint">Yuryev-Polsky,Vladimir Oblast,Russia</div></body></html>;39.68048793;56.49649522;0
СОБОР АЛЕКСАНДРА НЕВСКОГО;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(40157493,'000145',15,56.822893,60.598462,'n')"><div id="hint"></div></body></html>;60.59906012;56.82321461;0
Спасо-Преображенский собор (ХІ в.);<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(137762417,'000145',18,51.488732,31.307838,'n')"><div id="hint">Chernihiv,Chernihivs'ka oblast,Ukraine</div></body></html>;31.30806859;51.48914175;0
Собор Александра Невского Nizhny Novgorod;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61672730,'000145',16,56.333610,43.971233,'n')"><div id="hint">Nizhniy Novgorod,Nizhegorodskaya oblast',Russia</div></body></html>;43.97183553;56.33398823;0
Alupka. Palacio Voronzov;<p><span style="font-size: larger"><span style="color: rgb(128, 0, 0)"><strong><span style="font-size: large"><a target="_blank" href="http://GeoLines.ru"><span style="color: rgb(0, 0, 255)"><strong>GeoLines.ru</strong></span></a></span><a target="_blank" href="http://geolines.ru/publications/NEW-IN-HISTORY/RUSSIAN-CATHEDRALS-REGIONS-4.html"><span style="color: rgb(128, 0, 0)">РУССКИЕ ХРАМЫ. ЧАСТЬ 4. РЕГИОНЫ. </span></a></strong></span></span></p><html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(95224407,'000145',17,44.419778,34.056072,'n')"><div id="hint"></div></body></html>;34.05591533;44.42025671;0
Чернігів. Церква Михайла і Федора.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138878000,'000145',18,51.498070,31.309912,'n')"><div id="hint">Chernihiv,Chernihivs'ka oblast,Ukraine</div></body></html>;31.31007654;51.49823014;0
Елецкий Свято-Успенский монастырь;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(93960499,'000145',17,51.485218,31.294985,'n')"><div id="hint">Chernihiv,Chernihivs'ka oblast,Ukraine</div></body></html>;31.29564215;51.48550927;0
Храм Бориса и Глеба, 1152;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(137962436,'000145',18,56.424730,40.527363,'n')"><div id="hint">Vladimir Oblast,Russia,601293</div></body></html>;40.52807536;56.4251281;0
St George's Church in the fortress of Staraya Ladoga;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(137660139,'000145',18,59.997245,32.298871,'n')"><div id="hint">Leningrad Oblast,Russia,187412</div></body></html>;32.2987979;59.99747189;0
Saviour Church on Nereditsa (1198);<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(96654196,'000145',17,58.497068,31.311065,'n')"><div id="hint"></div></body></html>;31.31177686;58.49731767;0
Преображенский монастырь;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(93737316,'000145',17,57.994305,31.359819,'n')"><div id="hint">Staraya Russa,Novgorod Oblast,Russia</div></body></html>;31.36095675;57.99445468;0
Nikolo-Vyazhishchsky Monastery;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(64225756,'000145',16,58.623584,31.169038,'n')"><div id="hint"></div></body></html>;31.16862177;58.6235074;0
ц.Ильии Пророка на Славне, В.Новгород;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(186671126,'000145',19,58.511095,31.291556,'n')"> <div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.29176051;58.51122088;0
ГЕОРГИЕВСКИЙ СОБОР;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(137880517,'000145',18,58.486752,31.284417,'n')"><div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.28498608;58.48705121;0
Вел.Новгород-церковь Феодора Стратилата;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61925522,'000145',16,58.527296,31.269751,'n')"><div id="hint">Russia</div></body></html>;31.26906916;58.52766359;0
Церковь Благовещения на Мячине (в Аркажах) 1179г;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(23488590,'000145',14,58.493481,31.250632,'n')"><div id="hint"></div></body></html>;31.25011882;58.49330209;0
Софийский собор.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138265420,'000145',18,58.521986,31.276660,'n')"><div id="hint">Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.27719126;58.52241182;0
ЦЕРЬКОВЬ Петра и Павла на Синичьей горе;НА СИНИЧЬЕЙ ГОРЕ;31.2590947;58.50935864;0
Церковь Николы-на-Липне;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61879840,'000145',16,58.448662,31.349133,'n')"><div id="hint">Novgorodsky District,Novgorod Oblast,Russia</div></body></html>;31.34905485;58.44905798;0
Знаменский Собор. 1682—1688. Новгород;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94558120,'000145',17,58.517173,31.293671,'n')"><div id="hint">Russia</div></body></html>;31.29478538;58.51736592;0
церковь Симеона-Богоприимца;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(141457906,'000145',18,58.536240,31.276590,'n')"> <div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.27663972;58.53644894;0
Собор Сретения иконы Божией Матери;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(249649196,'000145',20,58.581342,31.231776,'n')"> <div id="hint">Novgorodskaya oblast',Russia,173507</div></body></html>;31.23218076;58.58139097;0
Свято-Троицкий Михаило-Клопский монастырь.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(23063405,'000145',14,58.374897,31.122980,'n')"><div id="hint">Novgorodsky District,Novgorod Oblast,Russia</div></body></html>;31.12207385;58.37656526;0
Свято-Успенский собор 1157 Г.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(62099342,'000145',16,50.843468,24.315340,'n')"><div id="hint">Volodymyr-Volynsky,Volyns'ka oblast,Ukraine</div></body></html>;24.31539528;50.8431637;0
Церковь Феодора Стратилата на Ручью;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(64803545,'000145',16,58.523240,31.293354,'n')"><div id="hint">Russia</div></body></html>;31.29354663;58.52346641;0
Великий Новгород. Храм Николы (1113 г);<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(193945698,'000145',19,58.517702,31.284192,'n')"><div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.28450517;58.51772595;0
